Isotope,Energy (keV),XS (mb),Info
19F,2653.03,17.3606,"(n,n') XS"
19F,4352.76,14.9493,"(n,n') XS"
19F,4180.5599999999995,13.6267,"(n,n') XS"
19F,1868.15,12.7699,"(n,n') XS"
19F,1458.7,11.3319,"(n,n') XS"
19F,4072.33,10.3078,"(n,n') XS"
19F,5106.6,9.27027,"(n,n') XS"
19F,3908.17,8.58138,"(n,n') XS"
19F,3336.83,5.99577,"(n,n') XS"
19F,1261.56,5.91514,"(n,n') XS"
19F,2683.65,5.83952,"(n,n') XS"
19F,1148.53,4.82869,"(n,n') XS"
19F,3801.56,4.46417,"(n,n') XS"
19F,4814.93,4.44825,"(n,n') XS"
19F,5872.860000000001,4.01367,"(n,n') XS"
19F,4275.33,3.96457,"(n,n') XS"
19F,2995.86,3.89982,"(n,n') XS"
19F,6132.86,3.78834,"(n,n') XS"
19F,2354.13,3.75435,"(n,n') XS"
19F,2067.5,3.50448,"(n,n') XS"
19F,4754.330000000001,3.50448,"(n,n') XS"
19F,5337.86,3.42148,"(n,n') XS"
19F,1597.85,3.30027,"(n,n') XS"
19F,4076.2999999999997,3.27589,"(n,n') XS"
19F,4117.83,3.1672,"(n,n') XS"
19F,4446.21,3.09734,"(n,n') XS"
19F,3798.28,3.03924,"(n,n') XS"
19F,2540.0,2.97611,"(n,n') XS"
19F,3223.8,2.97413,"(n,n') XS"
19F,5978.11,2.59309,"(n,n') XS"
19F,5303.56,2.55484,"(n,n') XS"
19F,5423.860000000001,2.53472,"(n,n') XS"
19F,3711.03,2.5029,"(n,n') XS"
19F,4556.099999999999,2.47816,"(n,n') XS"
19F,5963.46,2.12128,"(n,n') XS"
19F,4936.33,2.01906,"(n,n') XS"
19F,1444.1399999999999,1.96179,"(n,n') XS"
19F,3959.2999999999997,1.91404,"(n,n') XS"
19F,3091.2000000000003,1.73325,"(n,n') XS"
19F,3290.15,1.70921,"(n,n') XS"
19F,4479.3,1.51408,"(n,n') XS"
19F,1419.3,1.47233,"(n,n') XS"
19F,4823.299999999999,1.45824,"(n,n') XS"
20Ne,1633.6699999999998,776.696,"(n,n') XS"
20Ne,2614.03,165.759,"(n,n') XS"
20Ne,3987.73,91.0764,"(n,n') XS"
20Ne,3332.84,66.8093,"(n,n') XS"
20Ne,4154.03,33.9494,"(n,n') XS"
20Ne,2756.3,20.3992,"(n,n') XS"
20Ne,5788.2300000000005,20.0461,"(n,n') XS"
20Ne,2908.6,18.7224,"(n,n') XS"
20Ne,7397.33,17.3839,"(n,n') XS"
20Ne,7833.400000000001,17.1378,"(n,n') XS"
20Ne,2831.6,16.8607,"(n,n') XS"
20Ne,7853.33,14.7765,"(n,n') XS"
20Ne,7684.33,13.9862,"(n,n') XS"
20Ne,8356.33,13.7192,"(n,n') XS"
20Ne,1368.6000000000001,12.4776,"(n,n') XS"
20Ne,8239.33,11.3958,"(n,n') XS"
20Ne,8639.53,11.0886,"(n,n') XS"
20Ne,5072.33,10.6225,"(n,n') XS"
20Ne,6706.0,10.6225,"(n,n') XS"
20Ne,8708.0,10.5826,"(n,n') XS"
20Ne,4529.9,9.22328,"(n,n') XS"
20Ne,7482.33,8.9334,"(n,n') XS"
20Ne,7366.33,8.20611,"(n,n') XS"
20Ne,9000.0,8.20611,"(n,n') XS"
20Ne,1382.6000000000001,8.03074,"(n,n') XS"
20Ne,5621.400000000001,7.90132,"(n,n') XS"
20Ne,7562.33,7.86665,"(n,n') XS"
20Ne,9196.0,7.86665,"(n,n') XS"
20Ne,5787.7,7.45108,"(n,n') XS"
20Ne,4572.3,7.36657,"(n,n') XS"
20Ne,3198.6,7.36657,"(n,n') XS"
20Ne,8301.33,6.95671,"(n,n') XS"
20Ne,6158.299999999999,6.58015,"(n,n') XS"
20Ne,8772.33,6.58015,"(n,n') XS"
20Ne,5091.33,6.10161,"(n,n') XS"
20Ne,4149.49,5.89674,"(n,n') XS"
20Ne,7220.33,5.85468,"(n,n') XS"
20Ne,8854.0,5.85468,"(n,n') XS"
20Ne,5557.33,5.64214,"(n,n') XS"
20Ne,654.89,4.99043,"(n,n') XS"
20Ne,6014.3,4.57653,"(n,n') XS"
20Ne,4640.6,4.57653,"(n,n') XS"
20Ne,2037.49,3.53536,"(n,n') XS"
