Isotope,Energy (keV),XS (mb),Compound
00Yb,1204.2,4.928,Yb
00Yb,1215.9,4.549,174Yb
00Yb,963.9,4.549,172Yb
00Yb,233.7,4.549,Yb
00Yb,1673.8,4.17,174Yb
00Yb,319.7,4.17,Yb
00Yb,1657.0,3.412,174Yb
00Yb,365.9,3.412,174Yb
00Yb,1051.4,3.033,174Yb
00Yb,462.3,3.033,173Yb
00Yb,1710.8,3.033,174Yb
00Yb,1710.8,3.033,Yb
00Yb,806.7,3.033,Yb
00Yb,912.2,3.033,172Yb
00Yb,440.1,2.881,Yb
00Yb,636.4,2.729,173Yb
00Yb,1255.0,2.654,176Yb
00Yb,739.0,2.274,171Yb
00Yb,992.5,2.274,174Yb
00Yb,748.0,2.274,172Yb
00Yb,1143.0,2.274,172Yb
00Yb,777.3,2.274,Yb
00Yb,1086.3,2.274,Yb
00Yb,727.4,1.895,Yb
00Yb,1410.6,1.895,174Yb
00Yb,1410.6,1.895,176Yb
00Yb,670.5,1.516,Yb
00Yb,1129.7,0.872,174Yb
00Lu,353.58,1282.32,175Lu
00Lu,343.45,795.038,175Lu
00Lu,113.9,384.696,175Lu
00Lu,113.9,384.696,Lu
00Lu,396.33,320.58,175Lu
00Lu,137.8,269.287,175Lu
00Lu,137.8,269.287,175Lu
00Lu,132.7,192.348,175Lu
00Lu,282.52,182.089,175Lu
00Lu,255.7,169.266,175Lu
00Lu,161.09,166.702,175Lu
00Lu,161.09,166.702,175Lu
00Lu,184.0,162.855,175Lu
00Lu,184.0,162.855,176Lu
00Lu,251.47,148.749,175Lu
00Lu,251.47,148.749,175Lu
00Lu,147.6,115.409,175Lu
00Lu,289.39,105.15,175Lu
00Lu,298.45,89.762,175Lu
00Lu,192.26,88.48,176Lu
00Lu,432.85,87.198,175Lu
00Lu,225.38,87.198,176Lu
00Lu,144.5,84.633,175Lu
00Lu,144.5,84.633,175Lu
00Lu,310.14,82.068,176Lu
00Lu,264.3,80.786,176Lu
00Lu,319.2,71.81,175Lu
00Lu,156.1,62.834,175Lu
00Lu,335.78,57.704,176Lu
00Lu,201.6,53.857,176Lu
00Lu,257.79,50.01,175Lu
00Lu,216.81,48.728,175Lu
00Lu,216.81,48.728,176Lu
00Lu,279.16,47.446,175Lu
00Lu,227.8,47.446,176Lu
00Lu,188.27,46.164,176Lu
00Lu,178.5,42.317,175Lu
00Lu,246.11,41.034,175Lu
00Lu,233.3,39.752,175Lu
00Lu,233.3,39.752,176Lu
00Lu,284.61,38.47,176Lu
00Lu,471.19,38.47,175Lu
00Lu,564.06,30.776,Lu
00Lu,608.78,29.109,Lu
00Lu,240.6,25.646,175Lu
00Lu,323.84,25.646,175Lu
00Lu,709.6,24.492,175Lu
00Lu,548.0,21.799,175Lu
00Lu,817.32,19.235,175Lu
00Lu,583.02,18.722,Lu
00Lu,271.9,17.952,176Lu
00Lu,235.8,17.952,175Lu
00Lu,838.7,17.952,Lu
00Lu,999.0,17.311,Lu
00Lu,1009.9,16.927,Lu
00Lu,1005.3,16.029,Lu
00Lu,368.3,15.388,175Lu
00Lu,238.7,15.388,176Lu
00Lu,1121.2,14.875,Lu
00Lu,1166.0,14.875,Lu
00Lu,425.1,14.49,176Lu
00Lu,219.2,14.106,176Lu
00Lu,852.8,14.106,Lu
00Lu,1469.7,14.106,Lu
00Lu,975.0,12.823,Lu
00Lu,419.92,12.695,175Lu
00Lu,359.6,12.054,176Lu
00Lu,387.5,11.797,175Lu
00Lu,1400.3,11.669,Lu
00Lu,213.9,11.541,176Lu
00Lu,538.1,11.413,Lu
00Lu,527.5,11.028,Lu
00Lu,1282.3,11.028,Lu
00Lu,940.5,11.028,Lu
00Lu,306.1,10.515,175Lu
00Lu,578.3,10.515,Lu
00Lu,330.5,10.259,176Lu
00Lu,604.9,9.874,175Lu
00Lu,660.6,9.746,Lu
00Lu,1656.6,9.617,Lu
00Lu,1586.9,9.489,Lu
00Lu,457.9,9.361,Lu
00Lu,586.1,9.233,175Lu
00Lu,1043.8,8.976,Lu
00Lu,554.2,8.976,Lu
00Lu,414.4,8.848,Lu
00Lu,740.3,8.592,Lu
00Lu,461.5,8.592,175Lu
00Lu,1354.2,8.592,Lu
00Lu,1544.3,8.463,Lu
00Lu,671.9,8.335,Lu
00Lu,1064.1,7.95,Lu
00Lu,872.3,7.95,Lu
00Lu,870.0,7.95,Lu
00Lu,301.2,7.95,176Lu
00Lu,429.4,7.95,Lu
00Lu,524.2,7.822,175Lu
00Lu,628.0,7.822,175Lu
00Lu,524.2,7.822,176Lu
00Lu,883.8,7.694,Lu
00Lu,861.3,7.694,Lu
00Lu,1688.6,7.694,Lu
00Lu,556.9,7.694,Lu
00Lu,444.0,7.437,Lu
00Lu,1343.6,7.437,Lu
00Lu,1129.1,7.309,Lu
00Lu,1134.0,7.181,Lu
00Lu,645.4,7.053,Lu
00Lu,1142.6,6.925,Lu
00Lu,1287.3,6.925,Lu
00Lu,1331.9,6.925,Lu
00Lu,755.8,6.668,Lu
00Lu,1137.9,6.668,Lu
00Lu,631.4,6.412,Lu
00Lu,403.1,6.412,175Lu
00Lu,1060.2,6.412,Lu
00Lu,722.0,6.283,Lu
00Lu,1562.4,6.027,Lu
00Lu,751.1,5.899,Lu
00Lu,1259.6,5.77,Lu
00Lu,1701.8,5.642,Lu
00Lu,1174.4,5.642,Lu
00Lu,765.5,5.514,Lu
00Lu,800.5,5.386,175Lu
00Lu,327.4,5.386,Lu
00Lu,1149.1,5.386,Lu
00Lu,1457.2,5.258,Lu
00Lu,890.9,5.258,Lu
00Lu,797.0,5.129,Lu
00Lu,517.8,5.129,175Lu
00Lu,779.7,5.001,Lu
00Lu,726.4,5.001,Lu
00Lu,484.1,4.873,175Lu
00Lu,1265.6,4.745,Lu
00Lu,1335.7,4.745,Lu
00Lu,667.3,4.616,Lu
00Lu,1256.2,4.488,Lu
00Lu,921.9,4.488,Lu
00Lu,1217.0,4.488,Lu
00Lu,1111.7,4.36,Lu
00Lu,1305.0,4.232,Lu
00Lu,1497.8,4.232,Lu
00Lu,1114.6,3.975,Lu
00Lu,1612.2,3.975,Lu
00Lu,1239.5,3.975,Lu
00Lu,1676.1,3.847,Lu
00Lu,1736.9,3.847,Lu
00Lu,915.0,3.847,Lu
00Lu,944.6,3.847,Lu
00Lu,995.1,3.847,Lu
00Lu,1623.3,3.719,Lu
00Lu,785.3,3.59,Lu
00Lu,1554.8,3.462,Lu
00Lu,1537.1,3.334,Lu
00Lu,1179.5,3.334,Lu
00Lu,657.4,3.206,Lu
00Lu,910.4,3.206,Lu
00Lu,950.6,3.206,Lu
00Lu,948.6,3.206,Lu
00Lu,715.9,3.078,Lu
00Lu,713.2,3.078,Lu
00Lu,895.8,2.949,Lu
00Lu,1509.3,2.949,Lu
00Lu,1525.9,2.949,Lu
00Lu,968.9,2.949,Lu
00Lu,902.5,2.949,Lu
00Lu,1089.1,2.949,Lu
00Lu,624.8,2.821,Lu
00Lu,1396.1,2.821,Lu
00Lu,1098.5,2.821,Lu
00Lu,990.6,2.565,Lu
00Lu,1647.2,2.565,Lu
00Lu,1437.4,2.308,Lu
00Lu,618.6,2.308,Lu
00Lu,1028.4,2.052,Lu
00Lu,928.3,1.923,Lu
00Lu,1444.2,1.795,Lu
00Lu,1031.4,1.795,Lu
00Lu,1246.3,1.795,Lu
00Hf,214.2,1296.36,180Hf
00Hf,214.2,1296.36,179Hf
00Hf,214.2,1296.36,178Hf
00Hf,508.2,194.454,177Hf
00Hf,208.0,155.563,177Hf
00Hf,122.7,142.6,179Hf
00Hf,1104.1,127.043,180Hf
00Hf,1104.1,127.043,178Hf
00Hf,325.6,121.858,178Hf
00Hf,303.9,94.634,179Hf
00Hf,1199.1,90.745,180Hf
00Hf,1065.4,80.374,180Hf
00Hf,332.0,75.189,180Hf
00Hf,202.0,71.3,179Hf
00Hf,249.2,70.003,177Hf
00Hf,1175.5,58.336,Hf
00Hf,1206.3,54.447,180Hf
00Hf,136.8,51.854,177Hf
00Hf,175.5,51.854,177Hf
00Hf,1229.1,50.558,178Hf
00Hf,296.6,47.965,Hf
00Hf,339.0,46.669,179Hf
00Hf,1080.2,46.669,178Hf
00Hf,1167.7,44.076,178Hf
00Hf,1167.7,44.076,180Hf
00Hf,1300.3,40.187,180Hf
00Hf,146.0,40.187,179Hf
00Hf,193.2,33.705,179Hf
00Hf,1260.8,32.409,180Hf
00Hf,160.8,29.816,179Hf
00Hf,1008.4,27.224,Hf
00Hf,234.5,25.927,177Hf
00Hf,268.8,24.631,179Hf
00Hf,1340.8,23.334,Hf
00Hf,272.9,23.334,Hf
00Hf,1311.6,23.334,Hf
00Hf,316.4,22.038,Hf
00Hf,1332.7,19.445,Hf
00Hf,180.6,19.445,Hf
00Hf,1269.9,19.445,Hf
00Hf,981.4,18.149,180Hf
00Hf,169.4,18.149,Hf
00Hf,1090.0,18.149,180Hf
00Hf,1223.0,18.149,Hf
00Hf,406.5,16.853,Hf
00Hf,1249.6,15.556,Hf
00Hf,1060.4,15.556,180Hf
00Hf,395.5,15.556,177Hf
00Hf,745.3,14.26,177Hf
00Hf,856.6,14.26,Hf
00Hf,492.0,14.26,177Hf
00Hf,426.1,14.26,178Hf
00Hf,1420.9,12.964,Hf
00Hf,759.6,12.964,177Hf
00Hf,433.9,12.964,Hf
00Hf,1143.6,12.186,Hf
00Hf,379.0,12.056,Hf
00Hf,729.2,11.797,180Hf
00Hf,1317.1,10.371,Hf
00Hf,1328.1,9.723,Hf
00Hf,970.8,8.815,Hf
00Hf,1183.9,8.686,178Hf
00Hf,278.7,8.686,179Hf
00Hf,874.5,7.908,Hf
00Hf,735.1,7.778,177Hf
00Hf,1403.7,7.519,Hf
00Hf,919.3,7.13,Hf
00Hf,421.7,5.315,Hf
00Hf,289.3,4.408,Hf
00Hf,363.6,3.759,179Hf
00Hf,355.6,3.371,Hf
00Ta,136.25,1438.351,181Ta
00Ta,482.09,594.36,181Ta
00Ta,152.52,332.842,181Ta
00Ta,165.14,249.631,181Ta
00Ta,345.85,118.872,181Ta
00Ta,179.2,112.928,181Ta
00Ta,301.6,83.21,181Ta
00Ta,193.8,47.549,181Ta
00Ta,359.1,38.633,181Ta
00Ta,288.48,32.69,181Ta
00Ta,205.19,32.095,181Ta
00Ta,259.1,27.341,181Ta
00Ta,435.4,19.02,181Ta
00Ta,704.8,16.048,181Ta
00Ta,1426.7,15.453,181Ta
00Ta,330.3,14.265,181Ta
00Ta,211.6,14.265,181Ta
00Ta,1159.8,12.482,181Ta
00Ta,224.0,11.887,181Ta
00Ta,988.4,11.887,181Ta
00Ta,1079.9,11.293,181Ta
00Ta,1382.5,11.293,181Ta
00Ta,1244.8,10.698,181Ta
00Ta,455.3,10.698,181Ta
00Ta,1213.0,10.104,181Ta
00Ta,1141.5,10.104,181Ta
00Ta,230.8,10.104,181Ta
00Ta,545.1,9.51,181Ta
00Ta,245.4,9.51,181Ta
00Ta,237.9,8.915,181Ta
00Ta,1259.4,6.538,181Ta
00Ta,468.8,6.538,181Ta
00Ta,1173.6,6.538,181Ta
00Ta,415.1,6.538,181Ta
00Ta,809.9,5.944,181Ta
00Ta,865.0,5.944,181Ta
00Ta,1308.6,5.349,181Ta
00Ta,375.6,5.349,181Ta
00Ta,221.6,4.755,181Ta
00Ta,886.2,4.755,181Ta
00Ta,789.7,4.755,181Ta
00Ta,1413.2,4.755,181Ta
00Ta,724.3,3.566,181Ta
00Ta,1444.2,3.566,181Ta
00Ta,450.9,3.566,181Ta
00Ta,1279.8,3.566,181Ta
00Ta,638.9,3.447,181Ta
00Ta,1023.6,3.15,181Ta
00Ta,1643.3,2.972,181Ta
00Ta,738.3,2.972,181Ta
00Ta,880.5,2.972,181Ta
00Ta,1746.3,2.912,181Ta
00Ta,1336.3,2.793,181Ta
00Ta,1636.7,2.793,181Ta
00Ta,1609.9,2.734,181Ta
00Ta,1342.0,2.615,181Ta
00Ta,1670.2,2.556,181Ta
00Ta,918.7,2.556,181Ta
00Ta,1397.6,2.496,181Ta
00Ta,623.3,2.496,181Ta
00Ta,1616.5,2.437,181Ta
00Ta,1763.2,2.318,181Ta
00Ta,1274.8,2.259,181Ta
00Ta,1090.5,1.902,181Ta
00Ta,728.7,1.783,181Ta
00Ta,1864.6,1.545,181Ta
00Ta,541.4,1.308,181Ta
00Ta,686.4,1.189,181Ta
00Ta,530.3,1.129,181Ta
00Ta,383.8,0.594,181Ta
00W,228.8,194.594,184W
00W,228.8,194.594,182W
00W,252.85,169.884,184W
00W,738.7,154.44,W
00W,738.7,154.44,186W
00W,273.89,120.463,186W
00W,214.9,98.842,186W
00W,214.9,98.842,184W
00W,214.9,98.842,W
00W,615.2,94.208,186W
00W,894.6,74.131,184W
00W,792.07,72.587,184W
00W,903.2,69.498,184W
00W,161.6,52.51,184W
00W,161.6,52.51,183W
00W,1121.4,46.332,182W
00W,307.6,43.243,186W
00W,313.2,41.699,183W
00W,1221.45,33.977,182W
00W,318.0,29.344,184W
00W,293.2,27.799,184W
00W,293.2,27.799,183W
00W,1230.9,26.255,182W
00W,760.0,23.166,184W
00W,760.0,23.166,186W
00W,209.2,21.622,183W
00W,245.8,20.077,183W
00W,384.0,18.533,184W
00W,1257.8,16.216,184W
00W,1257.8,16.216,182W
00W,888.0,15.444,184W
00W,351.2,13.9,182W
00W,907.5,13.9,186W
00W,609.7,13.9,186W
00W,769.5,13.282,184W
00W,145.2,12.355,W
00W,1010.4,11.583,184W
00W,929.2,11.429,182W
00W,929.2,11.429,184W
00W,418.4,11.274,186W
00W,418.4,11.274,184W
00W,412.6,10.811,186W
00W,183.0,10.811,186W
00W,1189.2,10.502,182W
00W,1035.5,10.502,182W
00W,1411.4,9.73,182W
00W,1411.4,9.73,184W
00W,1411.4,9.73,186W
00W,921.3,9.266,184W
00W,339.1,9.266,184W
00W,203.3,9.266,184W
00W,1022.4,9.112,184W
00W,883.9,8.649,186W
00W,1157.6,8.494,182W
00W,1112.7,8.34,184W
00W,1112.7,8.34,182W
00W,1275.3,8.185,184W
00W,545.3,7.722,182W
00W,545.3,7.722,186W
00W,152.6,7.259,182W
00W,633.8,7.104,186W
00W,1313.8,6.641,184W
00W,1313.8,6.641,W
00W,1162.5,6.332,184W
00W,1162.5,6.332,186W
00W,1293.9,6.178,182W
00W,1029.3,6.023,186W
00W,1948.9,5.869,184W
00W,1856.7,5.714,182W
00W,1319.6,5.714,W
00W,1319.6,5.714,184W
00W,197.5,5.56,186W
00W,537.0,5.405,184W
00W,1285.4,5.251,186W
00W,1002.4,5.097,182W
00W,801.2,5.097,W
00W,641.9,5.097,184W
00W,807.5,4.942,186W
00W,1386.6,4.633,184W
00W,1629.4,4.633,182W
00W,996.0,4.479,184W
00W,1334.1,4.324,186W
00W,1756.2,4.324,182W
00W,1180.8,4.324,182W
00W,724.4,4.324,182W
00W,724.4,4.324,184W
00W,1440.1,4.17,186W
00W,1440.1,4.17,182W
00W,465.5,4.17,186W
00W,1061.8,4.015,186W
00W,1817.3,4.015,182W
00W,684.3,3.552,186W
00W,1342.6,3.552,182W
00W,1586.5,3.552,186W
00W,354.5,3.398,183W
00W,942.6,3.243,182W
00W,858.1,3.243,W
00W,1432.1,3.243,184W
00W,708.5,3.243,W
00W,1995.2,3.089,184W
00W,1174.8,3.089,186W
00W,679.6,3.089,186W
00W,2014.5,3.089,184W
00W,1174.8,3.089,184W
00W,1503.2,2.78,182W
00W,1503.2,2.78,184W
00W,1562.5,2.78,W
00W,359.4,2.78,184W
00W,1878.0,2.78,182W
00W,714.8,2.78,186W
00W,1878.0,2.78,W
00W,1869.9,2.625,182W
00W,365.7,2.471,183W
00W,579.9,2.471,186W
00W,1570.9,2.317,184W
00W,1210.8,2.317,W
00W,1509.7,2.317,182W
00W,1426.4,2.162,182W
00W,1599.2,2.162,186W
00W,960.3,2.008,182W
00W,953.2,2.008,W
00W,2184.0,1.853,W
00W,2004.4,1.853,184W
00W,1733.3,1.853,182W
00W,1745.6,1.853,182W
00W,816.8,1.853,182W
00W,1797.2,1.699,W
00W,652.9,1.699,W
00W,968.9,1.544,186W
00W,1530.2,1.544,W
00W,2166.6,1.544,W
00W,2048.8,1.39,182W
00W,1836.8,1.39,W
00W,556.1,1.39,W
00W,2057.7,1.39,W
00W,1076.2,1.39,182W
00W,2057.7,1.39,184W
00W,2057.7,1.39,182W
00W,1523.1,1.39,W
00W,1614.1,1.39,182W
00W,1983.8,1.236,186W
00W,1555.8,1.236,W
00W,1485.3,1.236,W
00W,1473.6,1.081,W
00W,1912.6,1.081,W
00W,1100.7,1.081,182W
00W,1769.5,1.081,W
182W,100.0,860.385,182W
182W,229.2,137.143,182W
182W,1121.32,46.332,182W
182W,1221.45,36.602,182W
182W,1231.03,27.336,182W
182W,152.4,18.996,182W
182W,351.04,17.606,182W
182W,1257.45,13.9,182W
182W,1035.6,12.973,182W
182W,1189.08,12.046,182W
182W,1157.42,8.849,182W
182W,156.5,7.876,182W
182W,1113.5,7.876,182W
182W,927.9,7.413,182W
182W,1180.7,6.208,182W
182W,1001.6,5.884,182W
182W,1294.0,5.467,182W
182W,178.2,5.097,182W
182W,178.2,5.097,182W
182W,1342.8,4.124,182W
182W,1756.1,4.124,182W
182W,1818.5,3.892,182W
182W,221.7,3.707,182W
182W,1856.7,3.568,182W
182W,1629.8,3.475,182W
182W,1410.4,3.058,182W
182W,544.2,2.734,182W
182W,1859.1,2.502,182W
182W,256.2,2.224,182W
182W,1745.6,2.131,182W
182W,894.3,1.992,182W
182W,2016.0,1.9,182W
182W,942.5,1.9,182W
182W,1871.1,1.761,182W
182W,627.5,1.761,182W
182W,2048.0,1.761,182W
182W,564.0,1.761,182W
182W,900.5,1.668,182W
182W,1771.1,1.668,182W
182W,1662.2,1.483,182W
182W,798.2,1.483,182W
182W,1956.4,1.483,182W
182W,2109.1,1.483,182W
182W,264.0,1.39,182W
182W,1881.8,1.39,182W
182W,831.0,1.344,182W
182W,365.6,1.344,182W
182W,434.3,1.344,182W
182W,524.2,1.344,182W
182W,1757.0,1.251,182W
182W,1438.1,1.251,182W
182W,1289.5,1.251,182W
182W,470.4,1.251,182W
182W,1813.6,1.205,182W
182W,170.6,1.158,182W
182W,2283.5,1.158,182W
182W,1653.1,1.158,182W
182W,2208.8,1.158,182W
182W,463.9,1.158,182W
182W,1075.8,1.066,182W
182W,959.6,1.066,182W
182W,2074.0,1.066,182W
182W,1733.0,1.066,182W
182W,888.8,1.066,182W
182W,1273.8,1.066,182W
182W,2428.6,0.973,182W
182W,1558.5,0.973,182W
182W,1426.9,0.973,182W
182W,2185.4,0.973,182W
182W,744.6,0.927,182W
182W,1446.1,0.927,182W
182W,2067.0,0.927,182W
182W,280.6,0.927,182W
182W,2139.4,0.927,182W
182W,1468.0,0.834,182W
182W,1101.1,0.834,182W
182W,650.7,0.834,182W
182W,556.7,0.834,182W
182W,979.1,0.741,182W
182W,1688.3,0.741,182W
182W,2294.7,0.741,182W
182W,449.8,0.741,182W
182W,1614.0,0.741,182W
182W,678.2,0.741,182W
182W,909.7,0.741,182W
182W,1915.3,0.741,182W
182W,1990.7,0.741,182W
182W,1672.6,0.695,182W
182W,1877.5,0.695,182W
182W,2057.4,0.649,182W
182W,2145.4,0.602,182W
182W,2231.7,0.556,182W
182W,2312.0,0.556,182W
182W,2474.0,0.556,182W
182W,286.3,0.556,182W
182W,1588.7,0.556,182W
182W,1544.8,0.556,182W
182W,573.8,0.556,182W
182W,1521.0,0.51,182W
182W,622.8,0.51,182W
182W,1649.7,0.51,182W
182W,1879.6,0.51,182W
182W,835.9,0.51,182W
182W,1510.4,0.51,182W
182W,1944.6,0.51,182W
182W,1503.8,0.51,182W
182W,1960.2,0.463,182W
182W,666.4,0.454,182W
182W,952.3,0.454,182W
182W,300.4,0.454,182W
182W,817.0,0.454,182W
182W,1714.0,0.417,182W
182W,1088.6,0.412,182W
182W,723.8,0.366,182W
182W,777.6,0.361,182W
182W,809.5,0.329,182W
182W,733.5,0.329,182W
182W,586.0,0.329,182W
182W,1843.0,0.329,182W
182W,2010.2,0.297,182W
182W,1833.0,0.25,182W
182W,786.5,0.25,182W
182W,1066.0,0.25,182W
182W,1527.0,0.25,182W
182W,2084.2,0.167,182W
182W,67.8,0.0,182W
184W,111.21,596.988,184W
184W,252.85,194.594,184W
184W,792.08,82.008,184W
184W,226.74,72.278,184W
184W,894.77,70.888,184W
184W,903.282,69.498,184W
184W,318.04,39.614,184W
184W,215.21,24.324,184W
184W,215.21,24.324,184W
184W,384.27,24.324,184W
184W,1010.4,15.985,184W
184W,769.7,15.985,184W
184W,769.7,15.985,184W
184W,295.35,14.595,184W
184W,295.35,14.595,184W
184W,339.45,13.205,184W
184W,891.4,12.51,184W
184W,1022.6,11.12,184W
184W,921.0,9.035,184W
184W,757.6,8.34,184W
184W,757.6,8.34,184W
184W,641.915,7.645,184W
184W,930.87,6.741,184W
184W,1275.2,6.741,184W
184W,1313.6,6.255,184W
184W,1313.6,6.255,184W
184W,1319.3,6.255,184W
184W,1319.3,6.255,184W
184W,1412.4,5.907,184W
184W,1412.4,5.907,184W
184W,724.7,5.838,184W
184W,1431.0,5.56,184W
184W,996.3,5.212,184W
184W,996.3,5.212,184W
184W,711.0,4.865,184W
184W,210.7,4.865,184W
184W,711.0,4.865,184W
184W,1386.4,4.726,184W
184W,536.85,4.448,184W
184W,161.27,4.17,184W
184W,1110.4,4.17,184W
184W,1160.6,3.475,184W
184W,1121.4,3.475,184W
184W,359.4,3.336,184W
184W,1260.6,3.058,184W
184W,1949.1,2.919,184W
184W,1173.4,2.78,184W
184W,1173.4,2.78,184W
184W,418.4,2.78,184W
184W,763.6,2.641,184W
184W,607.9,2.571,184W
184W,2004.6,2.432,184W
184W,203.5,2.224,184W
184W,655.5,2.085,184W
184W,655.5,2.085,184W
184W,981.1,1.598,184W
184W,1995.9,1.598,184W
184W,460.2,1.39,184W
184W,1060.5,1.39,184W
184W,2056.6,1.251,184W
184W,2056.6,1.251,184W
184W,1571.5,1.251,184W
184W,2097.7,1.251,184W
184W,238.8,1.251,184W
184W,146.0,1.251,184W
184W,646.4,1.251,184W
184W,352.0,1.181,184W
184W,2087.5,1.112,184W
184W,810.4,1.042,184W
184W,1475.7,1.042,184W
184W,1783.6,0.973,184W
184W,527.8,0.903,184W
184W,2035.7,0.834,184W
184W,2014.0,0.834,184W
184W,2080.6,0.764,184W
184W,1699.1,0.695,184W
184W,1808.4,0.695,184W
184W,938.9,0.625,184W
184W,1766.5,0.625,184W
184W,1504.0,0.625,184W
184W,1501.8,0.625,184W
184W,1530.5,0.417,184W
184W,1211.0,0.208,184W
186W,122.3,259.459,186W
186W,738.4,154.44,186W
186W,738.4,154.44,186W
186W,273.94,117.374,186W
186W,615.3,91.12,186W
186W,214.6,83.398,186W
186W,308.0,47.876,186W
186W,308.0,47.876,186W
186W,308.0,47.876,186W
186W,759.4,14.054,186W
186W,610.1,13.9,186W
186W,183.0,13.9,186W
186W,907.7,10.811,186W
186W,884.11,8.958,186W
186W,633.7,7.413,186W
186W,1030.4,7.104,186W
186W,412.2,6.178,186W
186W,218.0,6.178,186W
186W,465.56,6.023,186W
186W,799.8,5.097,186W
186W,1163.3,4.942,186W
186W,807.1,4.788,186W
186W,567.0,4.17,186W
186W,1286.1,4.015,186W
186W,164.8,4.015,186W
186W,714.4,3.707,186W
186W,922.8,3.707,186W
186W,1441.5,3.552,186W
186W,1334.3,3.552,186W
186W,683.8,3.398,186W
186W,579.7,3.398,186W
186W,315.4,3.398,186W
186W,1587.9,3.089,186W
186W,418.4,2.78,186W
186W,1411.1,2.625,186W
186W,197.4,2.471,186W
186W,547.3,2.471,186W
186W,773.3,2.317,186W
186W,1228.9,2.317,186W
186W,1176.3,2.317,186W
186W,1564.1,2.162,186W
186W,456.9,2.008,186W
186W,830.0,2.008,186W
186W,391.3,1.853,186W
186W,292.6,1.853,186W
186W,1212.0,1.853,186W
186W,292.6,1.853,186W
186W,1329.6,1.699,186W
186W,1060.8,1.699,186W
186W,335.0,1.699,186W
186W,919.9,1.544,186W
186W,1599.6,1.544,186W
186W,679.5,1.39,186W
186W,985.8,1.39,186W
186W,1083.8,1.39,186W
186W,440.9,1.39,186W
186W,1314.8,1.236,186W
186W,1483.8,1.236,186W
186W,343.6,1.236,186W
186W,968.8,1.081,186W
186W,590.6,1.081,186W
186W,401.2,1.035,186W
186W,930.4,0.988,186W
186W,1982.0,0.927,186W
186W,1475.8,0.927,186W
186W,1246.8,0.927,186W
186W,858.9,0.927,186W
186W,1992.7,0.927,186W
186W,941.7,0.819,186W
186W,1945.1,0.772,186W
186W,1937.9,0.772,186W
186W,486.5,0.772,186W
186W,2120.1,0.772,186W
186W,1098.4,0.618,186W
186W,1376.0,0.618,186W
186W,1298.0,0.618,186W
186W,1658.7,0.618,186W
186W,1711.9,0.618,186W
186W,1871.8,0.618,186W
186W,1074.6,0.618,186W
186W,1257.2,0.618,186W
186W,2148.1,0.618,186W
186W,948.6,0.556,186W
186W,1194.9,0.463,186W
186W,658.4,0.463,186W
186W,649.6,0.324,186W
00Re,134.247,453.024,187Re
00Re,125.4,309.816,185Re
00Re,242.9,171.288,185Re
00Re,169.7,139.464,187Re
00Re,159.0,98.28,185Re
00Re,646.0,93.6,187Re
00Re,646.0,93.6,185Re
00Re,770.7,77.688,187Re
00Re,182.1,74.88,187Re
00Re,618.37,73.008,187Re
00Re,685.6,64.584,187Re
00Re,588.9,58.032,187Re
00Re,718.4,52.416,185Re
00Re,479.3,37.44,187Re
00Re,177.7,35.568,185Re
00Re,236.4,33.696,187Re
00Re,191.3,32.76,185Re
00Re,549.6,29.952,185Re
00Re,549.6,29.952,187Re
00Re,842.0,29.016,187Re
00Re,564.1,29.016,Re
00Re,874.3,24.336,185Re
00Re,826.9,24.336,187Re
00Re,826.9,24.336,185Re
00Re,374.5,23.4,187Re
00Re,214.5,22.464,NG
00Re,864.8,21.528,187Re
00Re,205.0,20.592,187Re
00Re,786.4,20.592,Re
00Re,442.7,19.656,Re
00Re,745.1,18.72,187Re
00Re,252.0,18.72,NG
00Re,206.3,16.848,187Re
00Re,930.3,16.848,185Re
00Re,802.8,16.848,Re
00Re,290.3,16.848,NG
00Re,303.9,16.848,187Re
00Re,209.4,14.976,NG
00Re,154.8,14.976,187Re
00Re,636.1,14.976,187Re
00Re,886.0,14.976,Re
00Re,970.1,14.227,Re
00Re,458.1,13.104,Re
00Re,573.2,12.168,187Re
00Re,879.6,12.168,187Re
00Re,960.17,11.606,187Re
00Re,413.2,11.232,185Re
00Re,454.8,11.232,187Re
00Re,405.0,10.296,Re
00Re,274.7,10.296,NG
00Re,1231.0,9.641,Re
00Re,979.2,9.454,Re
00Re,351.0,9.36,185Re
00Re,316.3,9.36,NG
00Re,1011.7,9.173,Re
00Re,900.1,8.33,Re
00Re,793.7,8.237,Re
00Re,1395.1,8.237,Re
00Re,284.2,8.05,185Re
00Re,951.0,7.582,Re
00Re,1044.0,7.488,Re
00Re,149.5,7.488,NG
00Re,1415.0,7.301,Re
00Re,707.0,7.207,Re
00Re,1453.5,7.114,Re
00Re,815.6,7.02,187Re
00Re,390.1,6.739,NG
00Re,1167.4,6.646,Re
00Re,625.2,6.552,Re
00Re,1434.5,6.552,Re
00Re,660.8,6.365,Re
00Re,987.9,6.365,Re
00Re,485.6,6.271,Re
00Re,739.6,6.178,Re
00Re,437.8,5.897,Re
00Re,1337.3,5.803,Re
00Re,1263.6,5.616,Re
00Re,361.1,5.616,Re
00Re,1275.1,5.522,Re
00Re,1056.0,5.335,187Re
00Re,1000.5,5.148,Re
00Re,221.4,4.961,185Re
00Re,277.9,4.68,Re
00Re,890.7,4.68,Re
00Re,554.7,4.493,Re
00Re,1124.3,4.212,Re
