Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
76Ge,913.81,0.0435,0.000909,40700.0,B-
76Ge,1312.8,0.0426,0.000909,40700.0,B-
76Ge,2089.6,0.0413,0.0009080000000000001,40700.0,B-
76Ge,1709.81,0.0365,0.000807,40700.0,B-
76Ge,1319.66,0.035800000000000005,0.000807,40700.0,B-
76Ge,520.0,0.034999999999999996,0.004,40700.0,B-
76Ge,939.35,0.0339,0.000806,40700.0,B-
76Ge,794.33,0.0329,0.000806,40700.0,B-
76Ge,1476.52,0.0288,0.000606,40700.0,B-
76Ge,1080.82,0.0287,0.000606,40700.0,B-
76Ge,2077.17,0.0277,0.000606,40700.0,B-
76Ge,337.63,0.0276,0.000606,40700.0,B-
76Ge,159.11,0.027399999999999997,0.0011,40700.0,B-
76Ge,698.54,0.027200000000000002,0.0006050000000000001,40700.0,B-
76Ge,268.1,0.026,0.019,40700.0,B-
76Ge,254.74,0.0252,0.000704,40700.0,B-
76Ge,1604.65,0.0251,0.0011,52.9,B-
76Ge,843.17,0.0248,0.000505,40700.0,B-
76Ge,2126.15,0.024300000000000002,0.000505,40700.0,B-
76Ge,439.44,0.0241,0.000505,40700.0,B-
76Ge,1151.84,0.023200000000000002,0.000505,40700.0,B-
76Ge,624.76,0.0217,0.000504,40700.0,B-
76Ge,177.28,0.0213,0.000803,40700.0,B-
76Ge,743.65,0.0211,0.000504,40700.0,B-
76Ge,1279.96,0.0207,0.000504,40700.0,B-
76Ge,1846.41,0.0203,0.000504,40700.0,B-
76Ge,1676.46,0.0189,0.000902,52.9,B-
76Ge,1061.7,0.017900000000000003,0.000404,40700.0,B-
76Ge,1727.18,0.0176,0.000403,40700.0,B-
76Ge,219.13,0.017,0.017,40700.0,B-
76Ge,1538.76,0.016900000000000002,0.000403,40700.0,B-
76Ge,673.09,0.0158,0.0015999999999999999,40700.0,B-
76Ge,813.36,0.0157,0.000403,40700.0,B-
76Ge,1215.42,0.015099999999999999,0.000303,40700.0,B-
76Ge,1478.99,0.015099999999999999,0.0017000000000000001,40700.0,B-
76Ge,896.51,0.0146,0.000303,40700.0,B-
76Ge,900.97,0.0144,0.000303,40700.0,B-
76Ge,1452.59,0.0144,0.000402,40700.0,B-
76Ge,1124.99,0.014,0.000303,40700.0,B-
76Ge,705.24,0.012700000000000001,0.00030199999999999997,40700.0,B-
76Ge,996.55,0.0125,0.00030199999999999997,40700.0,B-
76Ge,1409.94,0.0124,0.0006010000000000001,52.9,B-
