Isotope,Energy (keV),Sigma (mb),DSigma (mb)
196Hg,308.07,790.0,70.0
196Hg,151.92,190.0,40.0
196Hg,133.63,120.0,30.0
196Pt,5098.1,93.0,6.0
196Pt,5845.9,26.9,2.5
196Pt,5576.8,25.0,3.0
196Pt,649.21,18.0,1.7
196Pt,269.12,10.6,0.7
196Pt,71.57,9.700000000000001,1.9
196Pt,5137.5,7.6,1.9
196Pt,708.36,6.5,0.6
196Pt,502.45,5.7,0.4
196Pt,5343.5,5.4,2.1
196Pt,138.13,4.1000000000000005,0.8
196Pt,299.33,4.0,0.6
196Pt,430.87,3.6,0.5
196Pt,456.82,3.2,0.4
196Pt,98.58,2.2,0.3
196Pt,130.99,2.0,0.9
196Pt,216.03,2.0,0.5
196Pt,523.72,1.98,0.23
196Pt,542.21,1.98,0.23
196Pt,246.24,1.6,0.4
196Pt,439.25,1.22,0.19
196Pt,636.79,1.1199999999999999,0.18000000000000002
196Pt,595.3,1.06,0.2
196Pt,227.75,0.7,0.3
196Pt,694.71,0.7,0.13999999999999999
196Pt,233.33,0.67,0.23
196Pt,676.22,0.5599999999999999,0.1
196Pt,371.46,0.5,0.3
196Pt,157.49,0.43,0.23
196Pt,403.73,0.31,0.12000000000000001
196Pt,53.09,0.08,0.01
197Au,214.971,9000.0,1200.0
197Au,247.573,5560.0,80.0
197Au,261.404,5300.0,2000.0
197Au,236.045,4100.0,500.0
197Au,192.392,3900.0,1800.0
197Au,168.334,3600.0,220.0
197Au,381.199,3000.0,400.0
197Au,55.181,2900.0,120.0
197Au,82.356,2300.0,400.0
197Au,97.25,2100.0,500.0
197Au,529.165,1900.0,1000.0
197Au,192.944,1700.0,220.0
197Au,170.103,1660.0,220.0
197Au,328.484,1480.0,190.0
197Au,82.524,1400.0,300.0
197Au,5710.52,1270.0,170.0
197Au,158.436,1250.0,18.0
197Au,291.724,1050.0,170.0
197Au,350.828,1000.0,500.0
197Au,101.939,953.0,17.0
197Au,440.329,900.0,400.0
197Au,5102.85,870.0,130.0
197Au,260.882,830.0,130.0
197Au,123.786,830.0,130.0
197Au,122.652,810.0,130.0
197Au,5524.66,800.0,140.0
197Au,836.432,760.0,30.0
197Au,839.516,730.0,200.0
197Au,441.07,700.0,500.0
197Au,418.84,700.0,90.0
197Au,1306.851,700.0,90.0
197Au,511.517,680.0,110.0
197Au,548.935,670.0,90.0
197Au,158.479,670.0,90.0
197Au,180.864,630.0,110.0
197Au,188.167,630.0,150.0
197Au,4957.83,630.0,110.0
197Au,204.162,590.0,100.0
197Au,640.669,590.0,50.0
197Au,444.391,560.0,70.0
197Au,672.655,550.0,70.0
197Au,5722.94,550.0,160.0
197Au,579.297,530.0,80.0
197Au,5279.44,524.0,20.0
197Au,544.008,520.0,50.0
197Au,1107.562,520.0,100.0
197Au,204.158,513.0,10.0
197Au,702.474,510.0,70.0
197Au,5246.72,510.0,200.0
197Au,449.57,500.0,60.0
197Au,571.683,500.0,70.0
197Au,5088.46,500.0,80.0
197Au,540.301,490.0,230.0
197Au,1109.196,490.0,100.0
197Au,1239.572,490.0,80.0
197Au,1281.377,490.0,120.0
197Au,311.904,470.0,60.0
197Au,456.287,470.0,60.0
197Au,933.928,470.0,140.0
197Au,145.154,460.0,130.0
197Au,1028.564,460.0,70.0
197Au,5148.9,460.0,80.0
197Au,346.905,440.0,110.0
197Au,307.718,440.0,60.0
197Au,625.428,440.0,40.0
197Au,371.079,440.0,60.0
197Au,146.346,430.0,40.0
197Au,565.81,430.0,60.0
197Au,1297.124,430.0,100.0
197Au,66.395,420.0,120.0
197Au,219.419,420.0,40.0
197Au,5225.49,420.0,90.0
197Au,5493.81,420.0,100.0
197Au,35.824,410.0,50.0
197Au,678.208,410.0,120.0
197Au,5355.0,401.0,16.0
197Au,271.894,400.0,130.0
197Au,5140.74,395.0,18.0
197Au,75.171,390.0,23.0
197Au,529.954,390.0,50.0
197Au,690.046,388.0,20.0
197Au,170.399,380.0,50.0
197Au,154.794,380.0,60.0
197Au,565.784,380.0,50.0
197Au,902.478,380.0,60.0
197Au,5271.86,380.0,200.0
197Au,509.175,370.0,90.0
197Au,1111.461,370.0,60.0
197Au,868.771,364.0,15.0
197Au,574.381,360.0,50.0
197Au,516.062,350.0,50.0
197Au,525.134,350.0,40.0
197Au,1283.442,350.0,110.0
197Au,137.763,347.0,24.0
197Au,5620.62,340.0,90.0
197Au,103.561,338.0,15.0
197Au,5174.08,334.0,16.0
197Au,745.22,330.0,60.0
197Au,573.96,330.0,40.0
197Au,947.971,320.0,40.0
197Au,1183.796,320.0,50.0
197Au,740.0,310.0,21.0
197Au,825.483,310.0,50.0
197Au,927.421,310.0,120.0
197Au,355.53,310.0,40.0
197Au,4998.68,310.0,40.0
197Au,764.011,300.0,300.0
197Au,913.776,300.0,60.0
197Au,1530.698,300.0,50.0
197Au,5879.74,300.0,80.0
197Au,91.005,294.0,15.0
197Au,458.054,290.0,40.0
197Au,146.67,280.0,50.0
197Au,1050.701,280.0,50.0
197Au,166.228,279.0,11.0
197Au,277.246,277.0,6.0
197Au,5218.35,272.0,20.0
197Au,108.912,270.0,14.0
197Au,577.302,270.0,30.0
197Au,314.913,270.0,40.0
197Au,524.752,270.0,80.0
197Au,1148.562,270.0,40.0
197Au,1225.938,270.0,40.0
197Au,1361.477,270.0,40.0
197Au,786.793,261.0,15.0
197Au,236.171,260.0,60.0
197Au,266.647,260.0,30.0
197Au,810.1,260.0,30.0
197Au,1363.345,260.0,40.0
197Au,1274.975,260.0,40.0
197Au,916.435,250.0,40.0
197Au,659.249,250.0,60.0
197Au,1304.825,250.0,50.0
197Au,1132.895,250.0,50.0
197Au,1150.671,250.0,40.0
197Au,1554.42,250.0,90.0
197Au,383.284,240.0,30.0
197Au,655.569,240.0,50.0
197Au,635.166,240.0,30.0
197Au,1079.197,240.0,40.0
197Au,5808.5,240.0,90.0
197Au,154.797,239.0,10.0
197Au,999.682,230.0,30.0
197Au,1431.949,230.0,40.0
197Au,202.992,229.0,6.0
197Au,276.072,226.0,5.0
197Au,393.884,220.0,30.0
197Au,686.865,218.0,18.0
197Au,655.528,210.0,30.0
197Au,164.713,210.0,30.0
197Au,877.308,210.0,50.0
197Au,1316.318,210.0,40.0
197Au,1216.453,210.0,30.0
197Au,993.654,210.0,50.0
197Au,5473.96,210.0,60.0
197Au,770.858,206.0,17.0
197Au,1210.691,200.0,30.0
197Au,1487.13,200.0,40.0
197Au,1487.599,200.0,40.0
197Au,206.223,199.0,6.0
197Au,215.295,190.0,30.0
197Au,801.705,190.0,40.0
197Au,510.427,190.0,70.0
197Au,214.858,190.0,50.0
197Au,520.746,190.0,80.0
197Au,952.503,190.0,30.0
197Au,1060.888,190.0,30.0
197Au,1085.605,190.0,30.0
197Au,1106.951,190.0,40.0
197Au,1324.356,190.0,30.0
197Au,5302.86,190.0,100.0
197Au,1038.274,184.0,14.0
197Au,144.605,180.0,40.0
197Au,191.187,180.0,30.0
197Au,1018.426,180.0,30.0
197Au,5036.63,180.0,70.0
197Au,5040.15,180.0,70.0
197Au,337.533,178.0,23.0
197Au,378.299,178.0,23.0
197Au,794.158,178.0,24.0
197Au,1114.585,178.0,24.0
197Au,131.934,170.0,60.0
197Au,137.999,170.0,50.0
197Au,271.228,170.0,24.0
197Au,632.275,170.0,23.0
197Au,464.762,170.0,60.0
197Au,83.144,170.0,70.0
197Au,1101.942,170.0,23.0
197Au,885.638,170.0,30.0
197Au,5540.41,170.0,60.0
197Au,668.561,163.0,22.0
197Au,765.131,163.0,22.0
197Au,142.927,161.0,16.0
197Au,728.239,161.0,19.0
197Au,4975.87,161.0,16.0
197Au,5116.11,161.0,13.0
197Au,284.109,160.0,30.0
197Au,512.579,160.0,60.0
197Au,458.37,160.0,30.0
197Au,1335.515,160.0,40.0
197Au,1344.153,160.0,30.0
197Au,485.638,160.0,30.0
197Au,502.407,160.0,40.0
197Au,1054.055,160.0,30.0
197Au,5205.39,160.0,60.0
197Au,5839.57,160.0,80.0
197Au,4951.85,156.0,16.0
197Au,5110.17,156.0,11.0
197Au,269.073,155.0,24.0
197Au,1047.121,155.0,20.0
197Au,688.968,155.0,24.0
197Au,831.47,153.0,19.0
197Au,5080.6,152.0,15.0
197Au,698.287,150.0,50.0
197Au,898.612,150.0,30.0
197Au,1064.998,150.0,40.0
197Au,1301.041,150.0,60.0
197Au,1187.936,150.0,40.0
197Au,1431.641,150.0,40.0
197Au,593.184,148.0,21.0
197Au,796.217,148.0,22.0
197Au,574.37,148.0,20.0
197Au,863.082,148.0,25.0
197Au,1195.597,148.0,22.0
197Au,854.65,148.0,25.0
197Au,631.66,144.0,19.0
197Au,218.83,141.0,22.0
197Au,456.157,141.0,22.0
197Au,978.936,141.0,20.0
197Au,1128.417,141.0,19.0
197Au,1396.133,141.0,22.0
197Au,1379.39,141.0,22.0
197Au,1445.373,140.0,30.0
197Au,368.251,133.0,21.0
197Au,746.073,133.0,18.0
197Au,1005.487,133.0,24.0
197Au,373.145,130.0,19.0
197Au,971.818,130.0,40.0
197Au,806.248,130.0,30.0
197Au,1157.233,130.0,40.0
197Au,838.156,130.0,30.0
197Au,137.448,130.0,50.0
197Au,169.955,126.0,25.0
197Au,647.293,126.0,17.0
197Au,673.503,126.0,18.0
197Au,555.689,126.0,17.0
197Au,573.388,126.0,17.0
197Au,1252.166,126.0,23.0
197Au,928.995,126.0,22.0
197Au,584.8,121.0,15.0
197Au,1179.882,120.0,50.0
197Au,5153.21,119.0,14.0
197Au,776.632,118.0,19.0
197Au,1338.164,118.0,22.0
197Au,1308.164,118.0,25.0
197Au,448.562,118.0,15.0
197Au,724.623,115.0,18.0
197Au,5007.08,113.0,15.0
197Au,5025.11,113.0,16.0
197Au,347.88,111.0,14.0
197Au,609.432,111.0,9.0
197Au,511.067,111.0,22.0
197Au,328.74,111.0,14.0
197Au,245.314,111.0,18.0
197Au,248.739,111.0,16.0
197Au,783.23,111.0,23.0
197Au,1046.323,111.0,16.0
197Au,1076.761,111.0,21.0
197Au,333.838,111.0,14.0
197Au,682.804,111.0,15.0
197Au,728.997,111.0,20.0
197Au,364.024,110.0,30.0
197Au,1018.136,110.0,30.0
197Au,271.138,104.0,16.0
197Au,324.9,104.0,14.0
197Au,612.724,104.0,14.0
197Au,552.467,104.0,14.0
197Au,744.858,104.0,15.0
197Au,542.367,104.0,14.0
197Au,364.03,104.0,14.0
197Au,1200.827,104.0,16.0
197Au,815.954,104.0,20.0
197Au,822.572,104.0,17.0
197Au,788.131,104.0,19.0
197Au,1000.447,104.0,22.0
197Au,846.216,104.0,24.0
197Au,1049.231,104.0,17.0
197Au,574.733,104.0,14.0
197Au,732.221,104.0,14.0
197Au,515.132,104.0,14.0
197Au,985.002,104.0,25.0
197Au,132.85,104.0,24.0
197Au,833.906,104.0,16.0
197Au,293.121,101.0,16.0
197Au,175.307,100.0,80.0
197Au,447.527,100.0,40.0
197Au,396.104,100.0,8.0
197Au,680.391,100.0,30.0
197Au,135.612,100.0,30.0
197Au,1189.904,100.0,30.0
197Au,1028.199,100.0,30.0
197Au,522.351,96.0,12.0
197Au,891.613,96.0,23.0
197Au,983.082,96.0,14.0
197Au,1006.1,96.0,15.0
197Au,872.827,96.0,18.0
197Au,1272.14,96.0,16.0
197Au,767.96,96.0,14.0
197Au,1064.436,96.0,13.0
197Au,612.799,96.0,22.0
197Au,1081.54,96.0,25.0
197Au,1047.847,96.0,14.0
197Au,946.453,96.0,13.0
197Au,398.295,96.0,13.0
197Au,573.746,96.0,14.0
197Au,767.886,96.0,14.0
197Au,213.065,94.0,13.0
197Au,692.972,94.0,18.0
197Au,854.178,93.0,18.0
197Au,661.451,93.0,19.0
197Au,234.6,91.0,12.0
197Au,339.291,90.0,25.0
197Au,4981.55,90.0,30.0
197Au,5767.01,90.0,30.0
197Au,325.751,89.0,12.0
197Au,909.662,89.0,16.0
197Au,159.304,89.0,21.0
197Au,1041.038,89.0,12.0
197Au,317.255,89.0,21.0
197Au,202.006,89.0,15.0
197Au,777.687,89.0,15.0
197Au,443.904,89.0,18.0
197Au,996.135,89.0,20.0
197Au,654.204,89.0,13.0
197Au,1090.187,89.0,20.0
197Au,921.94,89.0,22.0
197Au,879.231,88.0,11.0
197Au,106.922,87.0,12.0
197Au,99.332,83.0,15.0
197Au,492.063,82.0,10.0
197Au,234.106,81.0,13.0
197Au,632.483,81.0,12.0
197Au,469.346,81.0,12.0
197Au,381.538,81.0,11.0
197Au,522.249,81.0,12.0
197Au,849.533,81.0,19.0
197Au,768.372,81.0,13.0
197Au,923.971,81.0,12.0
197Au,759.805,81.0,15.0
197Au,811.698,81.0,12.0
197Au,798.387,81.0,14.0
197Au,938.601,81.0,11.0
197Au,1062.494,81.0,11.0
197Au,920.127,81.0,21.0
197Au,341.7,81.0,18.0
197Au,1505.168,81.0,15.0
197Au,965.137,81.0,11.0
197Au,1189.475,81.0,12.0
197Au,635.836,81.0,11.0
197Au,856.673,81.0,19.0
197Au,113.513,80.0,40.0
197Au,591.232,80.0,50.0
197Au,218.958,80.0,40.0
197Au,891.117,80.0,30.0
197Au,472.465,78.0,11.0
197Au,267.762,74.0,11.0
197Au,169.222,74.0,18.0
197Au,419.201,74.0,10.0
197Au,697.617,74.0,11.0
197Au,679.137,74.0,12.0
197Au,365.62,74.0,10.0
197Au,717.433,74.0,19.0
197Au,857.274,74.0,19.0
197Au,619.111,74.0,10.0
197Au,818.316,74.0,14.0
197Au,864.782,74.0,16.0
197Au,979.317,74.0,17.0
197Au,1120.545,74.0,12.0
197Au,881.022,74.0,18.0
197Au,830.831,74.0,14.0
197Au,889.521,74.0,19.0
197Au,960.579,74.0,11.0
197Au,1422.564,74.0,18.0
197Au,153.96,70.0,10.0
197Au,125.342,70.0,90.0
197Au,439.633,70.0,30.0
197Au,655.032,70.0,30.0
197Au,5455.51,70.0,40.0
197Au,5783.54,70.0,40.0
197Au,201.998,68.0,5.0
197Au,247.938,67.0,11.0
197Au,224.339,67.0,14.0
197Au,734.111,67.0,10.0
197Au,800.039,67.0,16.0
197Au,395.697,67.0,10.0
197Au,283.953,67.0,15.0
197Au,720.911,67.0,9.0
197Au,487.573,67.0,10.0
197Au,915.928,67.0,14.0
197Au,725.533,67.0,9.0
197Au,272.566,67.0,10.0
197Au,1076.177,67.0,13.0
197Au,730.864,67.0,22.0
197Au,1027.324,67.0,9.0
197Au,660.291,67.0,10.0
197Au,588.425,67.0,9.0
197Au,806.216,67.0,11.0
197Au,990.61,67.0,23.0
197Au,1076.19,67.0,13.0
197Au,947.469,67.0,20.0
197Au,255.899,62.0,22.0
197Au,507.386,61.0,20.0
197Au,350.6,60.0,30.0
197Au,5643.46,60.0,30.0
197Au,453.826,59.0,24.0
197Au,264.233,59.0,10.0
197Au,297.721,59.0,8.0
197Au,446.175,59.0,8.0
197Au,218.05,59.0,15.0
197Au,481.942,59.0,9.0
197Au,824.603,59.0,13.0
197Au,644.041,59.0,12.0
197Au,648.997,59.0,8.0
197Au,533.747,59.0,19.0
197Au,751.528,59.0,13.0
197Au,757.023,59.0,9.0
197Au,460.391,59.0,8.0
197Au,888.836,59.0,23.0
197Au,797.117,59.0,13.0
197Au,976.595,59.0,15.0
197Au,377.875,59.0,9.0
197Au,1012.802,59.0,9.0
197Au,1034.557,59.0,9.0
197Au,181.972,59.0,17.0
197Au,950.356,59.0,10.0
197Au,773.908,59.0,12.0
197Au,786.203,59.0,12.0
197Au,487.168,59.0,8.0
197Au,466.45,59.0,8.0
197Au,840.916,59.0,20.0
197Au,504.119,59.0,9.0
197Au,5053.26,59.0,21.0
197Au,121.087,55.0,7.0
197Au,664.011,55.0,19.0
197Au,682.543,54.0,15.0
197Au,360.434,53.0,18.0
197Au,313.07,52.0,20.0
197Au,398.645,52.0,7.0
197Au,250.113,52.0,9.0
197Au,182.261,52.0,16.0
197Au,530.477,52.0,7.0
197Au,262.529,52.0,11.0
197Au,366.089,52.0,8.0
197Au,413.317,52.0,7.0
197Au,527.199,52.0,9.0
197Au,306.196,52.0,7.0
197Au,710.7,52.0,8.0
197Au,362.146,52.0,8.0
197Au,488.255,52.0,8.0
197Au,828.751,52.0,12.0
197Au,639.659,52.0,8.0
197Au,934.226,52.0,8.0
197Au,1068.782,52.0,8.0
197Au,374.896,52.0,8.0
197Au,444.76,52.0,7.0
197Au,1033.236,52.0,8.0
197Au,695.607,52.0,7.0
197Au,615.537,52.0,7.0
197Au,664.18,52.0,8.0
197Au,707.419,52.0,8.0
197Au,666.135,52.0,16.0
197Au,773.865,52.0,15.0
197Au,135.872,50.0,8.0
197Au,758.506,50.0,15.0
197Au,5676.87,50.0,30.0
197Au,264.121,49.0,20.0
197Au,296.466,48.0,13.0
197Au,490.561,48.0,9.0
197Au,156.568,46.0,5.0
197Au,275.472,44.0,10.0
197Au,473.984,44.0,17.0
197Au,215.524,44.0,10.0
197Au,226.475,44.0,10.0
197Au,154.055,44.0,14.0
197Au,653.8,44.0,7.0
197Au,630.209,44.0,7.0
197Au,387.271,44.0,7.0
197Au,639.229,44.0,7.0
197Au,594.057,44.0,9.0
197Au,709.383,44.0,8.0
197Au,339.336,44.0,6.0
197Au,726.169,44.0,16.0
197Au,778.936,44.0,8.0
197Au,424.24,44.0,6.0
197Au,769.582,44.0,11.0
197Au,234.611,44.0,11.0
197Au,696.371,44.0,6.0
197Au,1025.407,44.0,7.0
197Au,742.977,44.0,17.0
197Au,807.091,44.0,9.0
197Au,525.802,44.0,7.0
197Au,613.816,44.0,6.0
197Au,238.466,44.0,12.0
197Au,616.399,44.0,8.0
197Au,623.75,44.0,7.0
197Au,936.134,44.0,9.0
197Au,816.736,44.0,11.0
197Au,705.133,44.0,8.0
197Au,713.533,44.0,7.0
197Au,612.115,44.0,6.0
197Au,639.089,44.0,6.0
197Au,218.906,44.0,11.0
197Au,614.832,41.0,9.0
197Au,828.176,40.0,30.0
197Au,406.009,38.0,12.0
197Au,273.303,37.0,13.0
197Au,148.606,37.0,19.0
197Au,269.584,37.0,9.0
197Au,457.685,37.0,14.0
197Au,180.317,37.0,6.0
197Au,703.729,37.0,6.0
197Au,382.321,37.0,5.0
197Au,485.881,37.0,6.0
197Au,549.512,37.0,5.0
197Au,550.493,37.0,7.0
197Au,442.388,37.0,5.0
197Au,173.368,37.0,12.0
197Au,597.738,37.0,6.0
197Au,772.602,37.0,7.0
197Au,489.262,37.0,6.0
197Au,700.218,37.0,7.0
197Au,292.241,37.0,7.0
197Au,578.958,37.0,6.0
197Au,712.662,37.0,7.0
197Au,1016.431,37.0,8.0
197Au,252.806,37.0,11.0
197Au,361.743,37.0,7.0
197Au,447.539,37.0,5.0
197Au,490.618,37.0,5.0
197Au,281.444,37.0,11.0
197Au,495.956,37.0,7.0
197Au,717.569,37.0,9.0
197Au,785.231,37.0,10.0
197Au,350.115,37.0,6.0
197Au,575.527,37.0,6.0
197Au,170.791,37.0,17.0
197Au,266.243,37.0,9.0
197Au,270.641,37.0,13.0
197Au,917.355,37.0,9.0
197Au,403.168,37.0,5.0
197Au,184.998,36.0,19.0
197Au,436.611,33.0,17.0
197Au,252.904,33.0,15.0
197Au,123.157,32.0,5.0
197Au,404.505,30.0,5.0
197Au,314.195,30.0,5.0
197Au,333.965,30.0,4.0
197Au,480.238,30.0,4.0
197Au,223.085,30.0,7.0
197Au,454.902,30.0,4.0
197Au,510.786,30.0,5.0
197Au,648.548,30.0,5.0
197Au,332.712,30.0,4.0
197Au,453.135,30.0,4.0
197Au,202.881,30.0,13.0
197Au,620.393,30.0,5.0
197Au,568.086,30.0,6.0
197Au,389.423,30.0,4.0
197Au,469.018,30.0,4.0
197Au,670.553,30.0,6.0
197Au,346.392,30.0,4.0
197Au,373.765,30.0,4.0
197Au,630.941,30.0,6.0
197Au,522.917,30.0,5.0
197Au,315.238,30.0,8.0
197Au,360.399,30.0,4.0
197Au,607.896,30.0,5.0
197Au,335.298,30.0,4.0
197Au,340.17,30.0,10.0
197Au,766.649,30.0,11.0
197Au,762.845,30.0,6.0
197Au,336.325,30.0,5.0
197Au,824.0,30.0,10.0
197Au,800.258,30.0,9.0
197Au,376.799,30.0,10.0
197Au,926.42,30.0,5.0
197Au,591.59,30.0,5.0
197Au,300.645,30.0,4.0
197Au,373.292,30.0,10.0
197Au,421.595,30.0,4.0
197Au,488.046,30.0,5.0
197Au,829.205,30.0,11.0
197Au,784.387,30.0,15.0
197Au,362.858,30.0,4.0
197Au,259.339,22.0,4.0
197Au,296.546,22.0,4.0
197Au,242.759,22.0,6.0
197Au,175.858,22.0,10.0
197Au,389.383,22.0,7.0
197Au,344.172,22.0,3.0
197Au,425.083,22.0,3.0
197Au,339.575,22.0,3.0
197Au,401.584,22.0,3.0
197Au,237.602,22.0,6.0
197Au,418.287,22.0,3.0
197Au,553.248,22.0,11.0
197Au,563.994,22.0,4.0
197Au,433.454,22.0,3.0
197Au,360.856,22.0,3.0
197Au,595.455,22.0,4.0
197Au,339.606,22.0,3.0
197Au,414.946,22.0,4.0
197Au,813.59,22.0,7.0
197Au,423.078,22.0,3.0
197Au,550.758,22.0,5.0
197Au,299.164,22.0,4.0
197Au,538.003,22.0,3.0
197Au,636.293,22.0,5.0
197Au,227.849,22.0,8.0
197Au,597.552,22.0,5.0
197Au,607.153,22.0,7.0
197Au,167.015,22.0,5.0
197Au,566.326,22.0,5.0
197Au,241.633,22.0,8.0
197Au,312.807,22.0,4.0
197Au,201.023,22.0,7.0
197Au,793.311,22.0,7.0
197Au,653.186,22.0,5.0
197Au,471.734,22.0,3.0
197Au,569.796,22.0,3.0
197Au,459.555,22.0,3.0
197Au,448.925,22.0,3.0
197Au,408.563,22.0,3.0
197Au,616.982,22.0,5.0
197Au,657.9,22.0,7.0
197Au,679.96,22.0,5.0
197Au,502.031,22.0,9.0
197Au,557.031,22.0,4.0
197Au,548.216,22.0,5.0
197Au,778.3,22.0,11.0
197Au,497.701,22.0,3.0
197Au,304.393,22.0,3.0
197Au,213.526,15.0,4.0
197Au,282.905,15.0,4.0
197Au,335.198,15.0,8.0
197Au,364.439,15.0,3.0
197Au,322.676,15.0,7.0
197Au,535.74,15.0,4.0
197Au,249.71,15.0,5.0
197Au,235.318,15.0,8.0
197Au,291.028,15.0,4.0
197Au,423.638,15.0,8.0
197Au,538.965,15.0,4.0
197Au,290.189,15.0,5.0
197Au,473.222,15.0,3.0
197Au,608.761,15.0,4.0
197Au,313.087,15.0,7.0
197Au,342.28,15.0,5.0
197Au,521.867,15.0,4.0
197Au,320.371,15.0,3.0
197Au,345.333,15.0,6.0
197Au,549.665,15.0,4.0
197Au,253.227,15.0,3.0
197Au,385.713,15.0,4.0
197Au,355.09,15.0,3.0
197Au,432.762,15.0,8.0
197Au,614.951,15.0,6.0
197Au,239.625,15.0,6.0
197Au,681.425,15.0,4.0
197Au,357.971,15.0,4.0
197Au,230.208,15.0,3.0
197Au,567.374,15.0,4.0
197Au,262.721,15.0,6.0
197Au,239.647,15.0,6.0
197Au,206.719,15.0,3.0
197Au,394.389,14.8,2.4
197Au,302.566,14.8,2.4
197Au,329.037,14.8,2.0
197Au,358.474,14.8,2.4
197Au,516.91,14.8,2.4
197Au,437.14,14.8,2.4
197Au,554.133,14.8,2.4
197Au,328.102,14.8,2.4
197Au,461.705,14.8,2.4
197Au,442.043,14.8,2.4
197Au,264.087,14.8,2.4
197Au,446.999,14.8,2.4
197Au,369.653,14.8,2.4
197Au,383.022,14.8,2.4
197Au,270.186,14.8,2.4
197Au,532.117,14.8,2.4
197Au,376.163,14.8,2.4
197Au,273.509,14.8,2.4
197Au,398.84,14.8,2.4
197Au,484.58,14.8,2.4
197Au,285.834,14.8,2.4
197Au,476.322,14.8,2.4
197Au,405.513,14.8,2.4
197Au,436.057,14.8,2.4
197Au,483.245,14.8,2.4
197Au,499.567,14.8,2.4
197Au,461.731,14.8,2.4
197Au,451.97,14.8,2.4
197Au,478.862,14.8,2.4
197Au,396.439,7.4,1.8
197Au,334.223,7.4,1.4
197Au,350.469,7.4,1.8
197Au,438.806,7.4,1.2
197Au,325.327,7.4,1.2
197Au,245.933,7.4,1.9
197Au,387.95,7.4,1.8
197Au,331.528,7.4,1.8
197Au,478.313,7.4,1.2
197Au,457.096,7.4,2.4
197Au,406.835,7.4,1.8
197Au,483.327,7.4,1.2
197Au,435.855,7.4,1.8
197Au,432.192,7.4,1.2
197Au,366.963,7.4,1.2
197Au,405.029,7.4,1.8
197Au,464.156,7.4,1.8
197Au,451.384,7.4,1.2
197Au,402.284,7.4,2.4
197Au,386.24,7.4,1.8
197Au,295.94,7.4,1.8
197Au,414.546,7.4,1.8
197Au,338.054,7.4,1.8
197Au,447.921,7.4,1.2
197Au,313.909,7.4,1.8
197Au,385.514,7.4,1.8
197Au,336.153,7.4,1.8
197Au,356.083,7.4,1.2
197Au,249.162,7.4,1.8
197Au,642.113,7.4,1.8
199Hg,367.947,251000.0,5000.0
199Hg,5967.02,62500.0,1500.0
199Hg,1693.296,56200.0,1600.0
199Hg,4739.43,30100.0,800.0
199Hg,1570.273,29600.0,700.0
199Hg,5658.24,27500.0,700.0
199Hg,2002.083,24300.0,900.0
199Hg,6457.98,23100.0,800.0
199Hg,661.403,22300.0,500.0
199Hg,1262.941,21500.0,500.0
199Hg,4842.07,20000.0,600.0
199Hg,5050.07,20000.0,600.0
199Hg,5388.43,17500.0,500.0
199Hg,886.153,13500.0,1100.0
199Hg,1205.717,13500.0,500.0
199Hg,3288.85,13300.0,400.0
199Hg,4675.44,13000.0,400.0
199Hg,4759.09,12400.0,400.0
199Hg,1225.476,12300.0,300.0
199Hg,1202.328,12000.0,300.0
199Hg,2639.85,11600.0,300.0
199Hg,3186.21,11300.0,400.0
199Hg,1273.497,10600.0,300.0
199Hg,1407.942,9530.0,230.0
199Hg,1718.299,8470.0,230.0
199Hg,1147.222,7790.0,230.0
199Hg,579.295,7640.0,230.0
199Hg,1254.099,7560.0,230.0
199Hg,2271.9,6050.0,230.0
199Hg,1362.971,5930.0,190.0
199Hg,4974.98,5220.0,230.0
199Hg,2920.9,4990.0,230.0
199Hg,2901.25,4630.0,190.0
199Hg,4575.36,4230.0,230.0
199Hg,1350.354,4100.0,160.0
199Hg,1604.322,4070.0000000000005,170.0
199Hg,4954.47,4010.0,230.0
199Hg,6309.96,4000.0,300.0
199Hg,3269.19,3960.0,180.0
199Hg,4373.37,3700.0,230.0
199Hg,4811.64,3700.0,230.0
199Hg,6397.37,3700.0,300.0
199Hg,2818.26,3420.0,160.0
199Hg,1758.97,3330.0,140.0
199Hg,1467.92,3310.0,130.0
199Hg,3216.63,2930.0,170.0
199Hg,1488.825,2920.0,140.0
199Hg,2296.31,2890.0,170.0
199Hg,1557.94,2870.0,140.0
199Hg,688.953,2830.0,110.0
199Hg,540.927,2750.0,90.0
199Hg,851.3,2690.0,90.0
199Hg,1514.903,2680.0,130.0
199Hg,1557.65,2600.0,800.0
199Hg,2960.07,2500.0,500.0
199Hg,701.57,2210.0,90.0
199Hg,1721.97,2200.0,600.0
199Hg,1385.756,2180.0,90.0
199Hg,1906.272,2060.0,120.0
199Hg,3073.81,1980.0,150.0
199Hg,2259.51,1840.0,130.0
199Hg,1706.361,1810.0,100.0
199Hg,1630.886,1800.0,90.0
199Hg,5731.96,1780.0,170.0
199Hg,5150.42,1740.0,230.0
199Hg,4800.3,1730.0,170.0
199Hg,2442.71,1700.0,400.0
199Hg,1623.763,1700.0,500.0
199Hg,1920.97,1690.0,110.0
199Hg,975.162,1630.0,80.0
199Hg,1347.15,1500.0,700.0
199Hg,1975.637,1490.0,120.0
199Hg,828.333,1440.0,70.0
199Hg,1782.58,1410.0,110.0
199Hg,1758.904,1400.0,400.0
199Hg,1759.979,1400.0,400.0
199Hg,1347.329,1370.0,110.0
