Isotope,Energy (keV),Sigma (mb),DSigma (mb)
23Na,2763.17,5.3,1.2
23Na,1150.002,5.28,0.21000000000000002
23Na,3116.97,5.23,0.24000000000000002
23Na,2595.49,5.2,0.3
23Na,5614.239,5.0,3.0
23Na,1928.16,4.8,0.19
23Na,3546.0,4.54,0.22
23Na,3413.97,4.41,0.18000000000000002
23Na,711.967,4.3,0.22
23Na,886.749,4.0200000000000005,0.16
23Na,1885.421,3.9,0.3
23Na,3209.59,3.81,0.2
23Na,2027.104,3.8,0.5
23Na,3277.32,3.77,0.17
23Na,1006.23,3.7,0.18000000000000002
23Na,1899.86,3.6,1.6
23Na,2940.91,3.47,0.18000000000000002
23Na,501.347,3.14,0.12999999999999998
23Na,1337.73,3.13,0.2
23Na,2715.87,3.0599999999999996,0.16
23Na,1620.49,2.94,0.22
23Na,1504.92,2.9299999999999997,0.23
23Na,2630.66,2.89,0.13999999999999999
23Na,3093.79,2.8,0.2
23Na,5612.274,2.6,1.1
23Na,1562.47,2.56,0.2
23Na,3092.5,2.5,0.4
23Na,2019.5,2.5,0.3
23Na,5113.007,2.5,0.13999999999999999
23Na,3409.39,2.37,0.11
23Na,1842.21,2.3,0.2
23Na,4445.754,2.29,0.12999999999999998
23Na,1005.924,2.27,0.12000000000000001
23Na,3703.33,2.19,0.11
23Na,3969.08,2.12,0.1
23Na,793.83,2.11,0.17
23Na,5073.515,2.07,0.12000000000000001
23Na,4089.45,2.0100000000000002,0.1
23Na,4055.265,2.0,0.6
23Na,4495.997,1.9300000000000002,0.12000000000000001
23Na,3997.25,1.89,0.1
23Na,6486.444,1.8699999999999999,0.11
23Na,4226.426,1.8,0.3
23Na,1480.47,1.71,0.15
23Na,4730.891,1.64,0.09000000000000001
23Na,1559.38,1.58,0.15
23Na,3723.74,1.56,0.08
23Na,1092.26,1.55,0.12000000000000001
23Na,4890.73,1.5299999999999998,0.09000000000000001
23Na,1041.245,1.5299999999999998,0.1
23Na,2403.57,1.51,0.22
23Na,1229.33,1.51,0.12000000000000001
23Na,4055.14,1.5,0.6
23Na,2849.93,1.4400000000000002,0.12000000000000001
23Na,4467.5,1.41,0.08
23Na,504.561,1.38,0.11
23Na,1217.69,1.35,0.21000000000000002
23Na,2588.94,1.31,0.04
23Na,2584.7,1.3,0.22
23Na,3181.71,1.28,0.12999999999999998
23Na,1486.294,1.24,0.12000000000000001
23Na,1247.495,1.23,0.1
23Na,2066.6,1.2,0.11
23Na,3331.15,1.1900000000000002,0.060000000000000005
23Na,5774.66,1.16,0.06999999999999999
23Na,3303.44,1.14,0.05
23Na,1773.23,1.06,0.12999999999999998
23Na,1095.15,0.99,0.21000000000000002
23Na,1631.7,0.99,0.17
23Na,3198.84,0.99,0.05
23Na,2237.58,0.98,0.13999999999999999
23Na,3343.28,0.9600000000000001,0.060000000000000005
23Na,3698.15,0.95,0.060000000000000005
23Na,1832.06,0.95,0.09000000000000001
23Na,2220.05,0.93,0.1
23Na,2009.78,0.93,0.12000000000000001
23Na,2400.36,0.9,0.4
23Na,4481.42,0.9,0.05
23Na,2337.84,0.86,0.060000000000000005
23Na,4775.33,0.85,0.05
23Na,2286.65,0.8099999999999999,0.05
23Na,3627.9,0.8,0.06999999999999999
23Na,4900.463,0.78,0.06999999999999999
23Na,4137.25,0.7699999999999999,0.060000000000000005
23Na,5445.452,0.7699999999999999,0.04
23Na,1567.25,0.76,0.09000000000000001
23Na,4586.97,0.7200000000000001,0.04
