Isotope,Energy (keV),Sigma (b),DSigma (b)
102Ru,562.86,0.017,0.004
102Ru,270.58,0.034,0.003
102Ru,568.06,0.003,0.0008
102Ru,245.97,0.0024,0.0009
102Ru,378.85,0.0085,0.0022
102Ru,417.92,0.0022,0.0025
102Ru,456.15,0.0039,0.0011
102Ru,589.37,0.0052,0.0012
102Ru,592.19,0.0055,0.0015
102Ru,325.3,0.0036,0.001
102Ru,160.54,0.0017,0.0009
102Ru,315.28,0.0041,0.0012
102Ru,487.23,0.0027,0.0015
102Ru,525.45,0.0019,0.0011
102Ru,658.68,0.0063,0.001
102Ru,661.5,0.0078,0.0011
102Ru,561.2,0.0012,0.0008
102Ru,182.15,0.0007,0.0006
102Ru,304.69,0.0027,0.0007
102Ru,330.77,0.0014,0.0008
102Ru,562.42,0.0046,0.0021
102Ru,600.64,0.0013,0.0008
102Ru,736.69,0.0092,0.0012
102Ru,428.48,0.0029,0.0019
102Ru,638.66,0.0021,0.0011
102Ru,774.71,0.0076,0.0018
102Ru,576.18,0.0021,0.0013
102Ru,402.2,0.0065,0.0009
102Ru,605.7,0.0006,0.0008
102Ru,728.9,0.0006,0.0006
102Ru,903.2,0.0077,0.0013
102Ru,692.03,0.0008,0.0008
102Ru,769.33,0.002,0.003
102Ru,902.56,0.0026,0.0025
102Ru,905.38,0.004,0.004
102Ru,734.47,0.002,0.003
102Ru,772.7,0.0073,0.0019
102Ru,908.74,0.0027,0.0017
102Ru,359.32,0.0056,0.0013
102Ru,379.12,0.0085,0.0022
102Ru,629.9,0.0021,0.0019
102Ru,753.11,0.0004,0.0006
102Ru,791.33,0.001,0.0008
102Ru,726.64,0.0007,0.0006
102Ru,803.94,0.0016,0.0019
102Ru,937.17,0.0128,0.0014
102Ru,939.99,0.0013,0.0019
102Ru,664.5,0.002,0.003
102Ru,853.7,0.0021,0.0007
102Ru,931.0,0.0035,0.001
102Ru,932.4,0.004,0.004
102Ru,677.9,0.0039,0.0014
102Ru,704.0,0.0038,0.0015
102Ru,1109.9,0.0009,0.001
102Ru,625.45,0.0104,0.0016
102Ru,978.0,0.0019,0.0019
102Ru,846.4,0.0009,0.0006
102Ru,1049.9,0.0031,0.001
102Ru,1211.3,0.0012,0.0019
102Ru,739.39,0.0008,0.001
102Ru,838.03,0.001,0.0015
102Ru,968.89,0.0012,0.0015
102Ru,994.97,0.0019,0.0017
102Ru,1103.41,0.0018,0.0021
102Ru,1400.89,0.003,0.004
102Ru,862.99,0.0096,0.0012
102Ru,868.19,0.003,0.003
102Ru,1295.0,0.001,0.0015
102Ru,1036.44,0.0012,0.0015
102Ru,1172.5,0.0063,0.0014
102Ru,1198.57,0.0127,0.0016
102Ru,1430.22,0.004,0.003
102Ru,1468.44,0.0014,0.0019
102Ru,1604.49,0.0071,0.0017
102Ru,1580.8,0.002,0.003
102Ru,1716.9,0.0049,0.0016
102Ru,1229.6,0.0019,0.0008
102Ru,1298.6,0.0009,0.001
102Ru,1730.6,0.0176,0.0023
102Ru,908.5,0.0004,0.0006
102Ru,1174.4,0.0015,0.0019
102Ru,1243.7,0.002,0.003
102Ru,1699.8,0.004,0.003
102Ru,706.74,0.0009,0.001
102Ru,1288.25,0.0022,0.0021
102Ru,1332.19,0.0103,0.0017
102Ru,1744.39,0.0061,0.0016
102Ru,1880.43,0.0119,0.0018
102Ru,733.9,0.0008,0.001
102Ru,1246.1,0.0081,0.0011
102Ru,1561.4,0.0012,0.0017
102Ru,1733.3,0.0032,0.0025
102Ru,561.24,0.001,0.0019
102Ru,1034.75,0.0033,0.001
102Ru,1369.94,0.004,0.003
102Ru,1461.17,0.0065,0.0019
102Ru,1615.9,0.0009,0.0017
102Ru,1959.3,0.21,0.019
102Ru,1075.37,0.0188,0.0021
102Ru,804.6,0.0018,0.0019
102Ru,1031.8,0.0014,0.0017
102Ru,1278.1,0.0008,0.001
102Ru,1296.7,0.002,0.004
102Ru,1544.0,0.0089,0.0017
102Ru,1859.2,0.0054,0.0016
102Ru,2031.2,0.0016,0.0021
102Ru,2223.5,0.009,0.015
102Ru,1839.25,0.0101,0.0016
102Ru,2027.68,0.002,0.004
102Ru,2074.98,0.022,0.003
102Ru,2575.93,0.0026,0.0021
102Ru,3655.97,0.0095,0.0015
102Ru,4008.4,0.012,0.0019
102Ru,4026.4,0.0131,0.0019
102Ru,4269.76,0.0145,0.0022
102Ru,4324.3,0.008,0.004
102Ru,4351.45,0.015,0.006
102Ru,4396.0,0.009,0.0019
102Ru,4501.3,0.0048,0.0008
102Ru,4515.0,0.0043,0.0017
102Ru,4627.38,0.0187,0.0024
102Ru,4800.82,0.0027,0.0007
102Ru,4830.98,0.01,0.0019
102Ru,4884.5,0.0142,0.0022
102Ru,4907.6,0.001,0.0015
102Ru,5058.16,0.0004,0.0008
102Ru,5122.0,0.001,0.0006
102Ru,5323.1,0.0008,0.0006
102Ru,5326.5,0.0009,0.0006
102Ru,5457.13,0.0026,0.0009
102Ru,5495.15,0.0012,0.0006
102Ru,5570.33,0.0007,0.0008
102Ru,5639.64,0.001,0.0006
102Ru,5668.97,0.0022,0.0007
102Ru,5677.28,0.0012,0.0008
102Ru,5683.57,0.0012,0.0008
102Ru,5799.82,0.00043,0.00021
102Ru,5825.9,0.00073,0.00022
102Ru,5885.59,0.0019,0.0007
102Ru,6057.53,0.001,0.0006
102Ru,6095.76,0.0008,0.0006
104Ru,20.573,0.0058,0.0005
104Ru,107.917,0.0153,0.0014
104Ru,159.303,0.0179,0.002
104Ru,55.863,0.0009,0.0007
104Ru,143.206,0.0206,0.002
104Ru,121.56,0.0002,0.0003
104Ru,208.9,0.0009,0.0013
104Ru,229.48,0.0012,0.0007
104Ru,82.496,0.0071,0.0009
104Ru,138.358,0.0085,0.0012
104Ru,225.702,0.0052,0.0008
104Ru,246.275,0.0003,0.0005
104Ru,113.343,0.0013,0.0005
104Ru,252.073,0.0083,0.001
104Ru,272.646,0.0044,0.0009
104Ru,301.75,0.0192,0.0019
104Ru,75.251,0.0233,0.0022
104Ru,157.747,0.0037,0.0009
104Ru,162.22,0.0015,0.0008
104Ru,213.609,0.0026,0.0006
104Ru,300.952,0.001,0.0008
104Ru,321.526,0.0175,0.0018
104Ru,169.31,0.0022,0.0004
104Ru,282.65,0.002,0.0007
104Ru,334.04,0.0008,0.0013
104Ru,441.96,0.0079,0.0011
104Ru,306.78,0.0053,0.0009
104Ru,358.17,0.0016,0.0019
104Ru,445.51,0.0039,0.0011
104Ru,466.08,0.0011,0.0019
104Ru,218.18,0.0031,0.0007
104Ru,244.55,0.0067,0.0009
104Ru,490.82,0.0045,0.0015
104Ru,470.12,0.0002,0.0004
104Ru,578.04,0.002,0.003
104Ru,280.41,0.0012,0.0007
104Ru,309.52,0.0025,0.0008
104Ru,352.69,0.0057,0.0011
104Ru,358.57,0.0173,0.0024
104Ru,471.91,0.0029,0.0017
104Ru,631.22,0.0016,0.001
104Ru,397.7,0.0002,0.0003
104Ru,562.7,0.028,0.003
104Ru,617.98,0.0006,0.0009
104Ru,462.93,0.025,0.003
104Ru,646.24,0.0011,0.0011
104Ru,193.04,0.0003,0.0004
104Ru,333.43,0.0027,0.0008
104Ru,664.95,0.0028,0.0009
104Ru,716.34,0.0034,0.0008
104Ru,824.25,0.0021,0.0009
104Ru,539.42,0.0011,0.0013
104Ru,714.08,0.0008,0.0013
104Ru,242.47,0.0004,0.0005
104Ru,422.0,0.007,0.0012
104Ru,564.91,0.0056,0.0008
104Ru,640.16,0.0171,0.0022
104Ru,739.28,0.001,0.0007
104Ru,683.97,0.006,0.0014
104Ru,797.31,0.0004,0.0004
104Ru,848.7,0.0004,0.0006
104Ru,757.1,0.0009,0.0005
104Ru,1134.6,0.0082,0.0013
104Ru,878.4,0.0004,0.0006
104Ru,439.0,0.0007,0.0004
104Ru,540.98,0.0008,0.0007
104Ru,1003.91,0.0007,0.001
104Ru,862.99,0.0004,0.0005
104Ru,887.12,0.0049,0.001
104Ru,1534.0,0.001,0.0019
104Ru,600.3,0.0032,0.0009
104Ru,1090.94,0.0046,0.0012
104Ru,1575.6,0.0051,0.0012
104Ru,1008.3,0.0006,0.0012
104Ru,878.4,0.0017,0.0007
104Ru,2127.71,0.0004,0.0006
104Ru,1910.8,0.0004,0.0006
104Ru,1321.0,0.0004,0.0007
104Ru,3506.06,0.0015,0.001
104Ru,3530.1,0.0005,0.0007
104Ru,3557.3,0.0003,0.0005
104Ru,3761.73,0.0013,0.0007
104Ru,4064.7,0.0054,0.0017
104Ru,4077.4,0.0004,0.0005
104Ru,4175.11,0.0055,0.0017
104Ru,4216.7,0.0097,0.002
104Ru,4580.93,0.0005,0.0003
104Ru,4584.56,0.0121,0.0023
104Ru,4943.1,0.02,0.003
104Ru,5023.55,0.014,0.015
104Ru,5085.73,0.0004,0.0006
104Ru,5104.43,0.0013,0.0019
104Ru,5125.52,0.0039,0.0014
104Ru,5419.14,0.0033,0.001
104Ru,5443.88,0.0018,0.001
104Ru,5588.43,0.0043,0.0017
104Ru,5637.3,0.0009,0.0013
104Ru,5750.64,0.0113,0.002
104Ru,5909.93,0.0077,0.0019
96Ru,189.24,0.0099,0.0011
96Ru,527.48,0.0045,0.0012
98Ru,89.69,0.0036,0.0007
103Rh,51.5,16.0,0.4
103Rh,97.14,19.5,0.4
103Rh,46.2,0.37,0.05
103Rh,83.74,0.63,0.14
103Rh,129.37,0.465,0.02
103Rh,180.87,22.6,1.5
103Rh,88.91,0.18,0.12
103Rh,134.54,6.8,0.4
103Rh,186.04,1.5,0.05
103Rh,100.74,4.96,0.1
103Rh,197.88,0.19,0.07
103Rh,32.18,0.25,0.05
103Rh,115.91,0.016,0.003
103Rh,161.55,1.0,0.03
103Rh,213.05,1.27,0.03
103Rh,43.47,0.12,0.024
103Rh,127.2,5.27,0.21
103Rh,224.34,0.1,0.06
103Rh,80.8,0.73,0.16
103Rh,85.97,0.3,0.06
103Rh,215.34,5.2,0.12
103Rh,266.84,2.66,0.17
103Rh,88.45,0.02,0.004
103Rh,172.19,0.21,0.04
103Rh,217.82,7.38,0.13
103Rh,105.4,0.47,0.04
103Rh,131.86,0.437,0.024
103Rh,232.6,0.03,0.006
103Rh,169.16,2.88,0.19
103Rh,215.36,1.54,0.12
103Rh,293.09,0.055,0.014
103Rh,145.47,1.5e-05,3e-06
103Rh,177.64,1.85,0.12
103Rh,261.38,1.09,0.03
103Rh,138.74,0.54,0.04
103Rh,165.2,0.89,0.04
103Rh,35.56,0.65,0.07
103Rh,115.61,0.02,0.004
103Rh,118.1,0.57,0.015
103Rh,198.89,0.52,0.1
103Rh,204.06,0.082,0.016
103Rh,287.8,0.069,0.014
103Rh,333.44,3.27,0.08
103Rh,170.08,0.64,0.19
103Rh,196.55,0.8,0.16
103Rh,394.42,0.11,0.07
103Rh,70.98,0.117,0.019
103Rh,176.38,0.083,0.017
103Rh,202.85,1.6,0.3
103Rh,219.85,0.48,0.019
103Rh,303.59,0.794,0.017
103Rh,135.16,0.66,0.16
103Rh,137.65,0.45,0.04
103Rh,218.44,0.3,0.06
103Rh,307.35,0.206,0.011
103Rh,352.99,0.668,0.019
103Rh,240.61,0.041,0.01
103Rh,62.1,0.013,0.006
103Rh,207.57,0.06,0.03
103Rh,222.74,0.26,0.03
103Rh,323.48,1.54,0.19
103Rh,420.62,2.06,0.04
103Rh,157.0,1.05,0.03
103Rh,159.49,0.38,0.016
103Rh,201.99,0.1,0.02
103Rh,228.45,0.116,0.011
103Rh,245.45,0.387,0.017
103Rh,374.826,1.3,0.025
103Rh,246.61,0.27,0.05
103Rh,273.62,0.814,0.018
103Rh,408.16,0.293,0.018
103Rh,85.19,3.2,0.3
103Rh,120.76,0.011,0.0022
103Rh,269.18,1.42,0.11
103Rh,284.36,0.26,0.03
103Rh,352.99,0.668,0.019
103Rh,385.1,0.819,0.019
103Rh,482.23,1.78,0.06
103Rh,168.21,0.45,0.1
103Rh,231.11,0.024,0.005
103Rh,284.9,0.061,0.012
103Rh,317.07,0.74,0.03
103Rh,400.81,0.08,0.03
103Rh,446.45,0.067,0.013
103Rh,235.93,0.345,0.01
103Rh,238.41,0.034,0.007
103Rh,280.91,0.088,0.016
103Rh,245.07,0.29,0.04
103Rh,247.55,0.387,0.017
103Rh,290.05,0.13,0.03
103Rh,328.35,0.17,0.03
103Rh,252.58,0.057,0.011
103Rh,255.06,0.11,0.03
103Rh,470.4,2.61,0.07
103Rh,130.16,0.085,0.017
103Rh,166.06,0.092,0.018
103Rh,326.7,0.11,0.022
103Rh,338.53,0.021,0.01
103Rh,343.7,0.137,0.011
103Rh,427.44,1.12,0.03
103Rh,55.46,0.76,0.15
103Rh,117.07,0.091,0.018
103Rh,152.75,0.033,0.007
103Rh,324.64,0.57,0.09
103Rh,356.82,0.668,0.019
103Rh,440.55,2.23,0.1
103Rh,175.33,0.14,0.03
103Rh,286.18,0.42,0.04
103Rh,331.16,0.097,0.019
103Rh,391.18,0.358,0.017
103Rh,396.35,0.21,0.04
103Rh,403.96,0.35,0.015
103Rh,119.5,1.5,0.3
103Rh,146.72,1.5,0.3
103Rh,178.66,3.27,0.14
103Rh,379.823,0.301,0.021
103Rh,597.65,0.997,0.023
103Rh,157.7,0.086,0.017
103Rh,173.48,0.043,0.009
103Rh,197.44,0.054,0.011
103Rh,695.38,1.07,0.03
103Rh,497.8,0.88,0.04
103Rh,529.98,0.885,0.021
103Rh,138.35,0.011,0.0022
103Rh,151.12,0.026,0.011
103Rh,348.18,0.02,0.004
103Rh,542.31,0.48,0.03
103Rh,226.8,0.037,0.007
103Rh,305.7,1.07,0.021
103Rh,424.05,0.1,0.02
103Rh,562.78,0.299,0.022
103Rh,574.07,0.539,0.02
103Rh,589.25,0.186,0.017
103Rh,606.25,0.047,0.022
103Rh,787.12,1.16,0.03
103Rh,200.43,0.073,0.015
103Rh,276.04,0.051,0.01
103Rh,396.01,0.042,0.008
103Rh,431.91,0.461,0.023
103Rh,609.55,0.58,0.03
103Rh,693.29,0.12,0.03
103Rh,790.43,0.7,0.4
103Rh,538.04,2.43,0.07
103Rh,118.94,0.051,0.01
103Rh,628.28,0.075,0.01
103Rh,633.45,0.239,0.017
103Rh,762.83,0.339,0.021
103Rh,240.49,0.038,0.008
103Rh,397.09,0.09,0.018
103Rh,550.87,0.31,0.03
103Rh,604.66,0.08,0.016
103Rh,636.84,0.22,0.03
103Rh,720.58,0.297,0.009
103Rh,766.21,0.084,0.017
103Rh,817.71,0.5,0.3
103Rh,203.74,0.05,0.01
103Rh,382.24,0.374,0.025
103Rh,467.44,0.09,0.018
103Rh,503.0,0.23,0.06
103Rh,216.54,5.0,1.0
103Rh,270.41,0.12,0.024
103Rh,362.47,0.04,0.008
103Rh,434.09,0.076,0.025
103Rh,459.69,0.555,0.017
103Rh,311.32,0.162,0.015
103Rh,350.86,0.069,0.018
103Rh,406.32,0.155,0.013
103Rh,525.47,0.08,0.014
103Rh,707.67,0.843,0.025
103Rh,791.41,0.84,0.05
103Rh,175.6,0.021,0.004
103Rh,442.3,0.16,0.04
103Rh,527.5,0.122,0.015
103Rh,544.59,0.2,0.03
103Rh,577.92,0.342,0.019
103Rh,907.66,0.28,0.06
103Rh,702.72,0.869,0.025
103Rh,734.9,0.68,0.05
103Rh,191.7,0.02,0.004
103Rh,228.36,0.04,0.008
103Rh,409.35,0.205,0.018
103Rh,594.0,0.03,0.006
103Rh,710.69,0.46,0.04
103Rh,872.24,0.44,0.016
103Rh,923.74,0.19,0.1
103Rh,951.96,1.09,0.024
103Rh,124.24,0.04,0.008
103Rh,200.38,0.11,0.022
103Rh,533.6,0.16,0.03
103Rh,689.47,0.35,0.08
103Rh,834.94,0.277,0.013
103Rh,192.78,0.014,0.003
103Rh,370.48,0.429,0.018
103Rh,576.08,0.137,0.018
103Rh,660.71,0.19,0.03
103Rh,680.61,0.25,0.05
103Rh,718.26,0.267,0.01
103Rh,722.81,0.255,0.011
103Rh,868.28,0.56,0.03
103Rh,883.45,0.19,0.03
103Rh,784.53,0.221,0.02
103Rh,744.76,0.22,0.03
103Rh,5798.18,0.59,0.03
103Rh,5917.43,1.31,0.04
103Rh,5950.77,0.064,0.01
103Rh,5990.79,0.134,0.008
103Rh,6046.79,0.88,0.04
103Rh,6068.91,0.021,0.003
103Rh,6075.01,0.054,0.004
103Rh,6082.98,0.58,0.04
103Rh,6085.52,0.005,0.005
103Rh,6103.42,0.022,0.003
103Rh,6110.21,0.278,0.019
103Rh,6134.76,0.024,0.003
103Rh,6138.34,0.0184,0.0013
103Rh,6162.3,0.027,0.003
103Rh,6166.33,0.0154,0.0017
103Rh,6172.33,0.75,0.03
103Rh,6181.03,0.024,0.003
103Rh,6184.42,0.052,0.004
103Rh,6193.75,0.132,0.009
103Rh,6198.79,0.0039,0.0013
103Rh,6202.66,0.0039,0.0013
103Rh,6208.32,0.131,0.013
103Rh,6211.62,0.89,0.03
103Rh,6214.24,0.0128,0.0014
103Rh,6266.7,0.0167,0.0014
103Rh,6270.39,0.0218,0.0015
103Rh,6272.77,0.0064,0.0013
103Rh,6303.36,0.199,0.013
103Rh,6349.59,0.072,0.007
103Rh,6354.87,0.46,0.03
103Rh,6408.73,0.0039,0.0013
103Rh,6421.5,0.086,0.005
103Rh,6461.04,0.0039,0.0013
103Rh,6474.15,0.0103,0.0014
103Rh,6484.34,0.0172,0.0013
103Rh,6516.5,0.0077,0.0014
103Rh,6613.78,0.056,0.005
103Rh,6731.87,0.009,0.0015
103Rh,6785.66,0.47,0.02
103Rh,6812.66,0.0039,0.0013
103Rh,6817.83,0.017,0.0013
103Rh,6901.56,0.0051,0.0013
103Rh,6947.2,0.0274,0.002
103Rh,6998.693,0.17,0.007
102Pd,118.68,0.0042,0.0011
102Pd,266.856,0.0042,0.0017
102Pd,385.4,0.0041,0.0014
102Pd,504.3,0.0019,0.0007
104Pd,280.65,0.0158,0.0014
104Pd,306.26,0.0043,0.0009
104Pd,63.98,0.0017,0.0002
104Pd,344.11,0.0068,0.0012
104Pd,442.11,0.0052,0.0013
104Pd,216.17,0.00021,7e-05
104Pd,560.75,0.0053,0.0011
104Pd,112.43,8e-05,2e-05
104Pd,328.61,0.0006,0.0003
104Pd,392.41,0.0072,0.0017
104Pd,673.21,0.0038,0.0009
105Pd,511.843,4.0,0.04
105Pd,616.192,0.629,0.009
105Pd,1128.03,0.323,0.006
105Pd,621.95,0.126,0.007
105Pd,717.356,0.777,0.009
105Pd,429.63,0.145,0.003
105Pd,1045.82,0.321,0.007
105Pd,428.37,0.0123,0.0016
105Pd,434.13,0.011,0.003
105Pd,1050.31,0.36,0.008
105Pd,1562.15,0.034,0.003
105Pd,578.4,0.011,0.001
105Pd,1194.58,0.0322,0.0018
105Pd,346.16,0.0096,0.0017
105Pd,775.79,0.0129,0.0018
105Pd,1397.54,0.089,0.003
105Pd,1909.37,0.02,0.005
105Pd,374.7,0.0059,0.0008
105Pd,703.17,0.0345,0.002
105Pd,804.33,0.091,0.003
105Pd,873.51,0.018,0.0014
105Pd,1489.7,0.0019,0.0003
105Pd,846.29,0.0452,0.0018
105Pd,848.16,0.1,0.0025
105Pd,949.33,0.0046,0.0005
105Pd,1565.51,0.0166,0.0017
105Pd,522.23,0.0038,0.0006
105Pd,956.35,0.0186,0.0024
105Pd,1572.54,0.207,0.025
105Pd,2084.37,0.0013,0.0003
105Pd,680.23,0.0383,0.002
105Pd,684.72,0.0136,0.0017
105Pd,1108.6,0.014,0.0018
105Pd,1114.35,0.038,0.005
105Pd,1730.54,0.0033,0.0007
105Pd,2242.37,0.0041,0.0009
105Pd,1766.61,0.009,0.0015
105Pd,1053.68,0.057,0.003
105Pd,1771.03,0.0044,0.0006
105Pd,748.34,0.0802,0.0023
105Pd,1180.68,0.0133,0.0012
105Pd,1796.87,0.0367,0.0022
105Pd,2308.7,0.0011,0.0011
105Pd,418.59,0.008,0.0017
105Pd,793.29,0.0251,0.0018
105Pd,1839.1,0.0073,0.0009
105Pd,808.41,0.024,0.0019
105Pd,1136.88,0.0015,0.0003
105Pd,1168.16,0.0588,0.0022
105Pd,1305.31,0.0042,0.0006
105Pd,1927.25,0.041,0.003
105Pd,2439.08,0.019,0.003
105Pd,765.65,0.0027,0.0003
105Pd,1960.23,0.0031,0.0006
105Pd,1972.9,0.0046,0.001
105Pd,2484.73,0.052,0.004
105Pd,1988.14,0.06,0.004
105Pd,1020.96,0.0162,0.0023
105Pd,1349.43,0.0332,0.0024
105Pd,1062.04,0.0039,0.0006
105Pd,1496.16,0.0026,0.0003
105Pd,2112.35,0.0046,0.0007
105Pd,1064.59,0.0027,0.0003
105Pd,1498.71,0.021,0.004
105Pd,2114.89,0.0107,0.0011
105Pd,1156.11,0.0129,0.0011
105Pd,1484.57,0.0066,0.0008
105Pd,2201.92,0.0036,0.0007
105Pd,2235.86,0.037,0.003
105Pd,533.48,0.0057,0.0008
105Pd,1218.2,0.026,0.004
105Pd,1546.66,0.0033,0.0007
105Pd,2264.01,0.0061,0.0011
105Pd,1554.49,0.001,0.0003
105Pd,1655.66,0.0021,0.0005
105Pd,2271.84,0.028,0.003
105Pd,1258.77,0.0033,0.0006
105Pd,1687.13,0.0013,0.0003
105Pd,1692.89,0.0026,0.0004
105Pd,2309.07,0.0176,0.0019
105Pd,1270.3,0.0015,0.0003
105Pd,2316.1,0.0106,0.0014
105Pd,1621.57,0.0181,0.0017
105Pd,1303.73,0.0074,0.0009
105Pd,1632.19,0.022,0.009
105Pd,1316.1,0.0008,0.0003
105Pd,2366.4,0.0049,0.0008
105Pd,2374.29,0.0189,0.0021
105Pd,1668.21,0.0096,0.001
105Pd,1774.25,0.0083,0.0013
105Pd,2390.44,0.0202,0.0023
105Pd,2396.66,0.04,0.003
105Pd,1356.39,0.0018,0.0003
105Pd,1360.88,0.0047,0.0006
105Pd,2406.69,0.0173,0.0021
105Pd,2423.93,0.0226,0.0023
105Pd,2456.63,0.017,0.003
105Pd,1909.4,0.0423,0.002
105Pd,2525.58,0.0031,0.0005
105Pd,1498.7,0.0253,0.0021
105Pd,2544.5,0.0118,0.0018
105Pd,2559.15,0.029,0.003
105Pd,1616.1,0.017,0.003
105Pd,2045.7,0.0097,0.0015
105Pd,2093.58,0.0087,0.0019
105Pd,2185.7,0.0031,0.0007
105Pd,6490.2,0.0161,0.0025
105Pd,6625.4,0.018,0.003
105Pd,6652.6,0.017,0.003
105Pd,7061.1,0.0063,0.0012
105Pd,7076.4,0.0095,0.0013
105Pd,7122.0,0.0146,0.0021
105Pd,7160.1,0.0083,0.0015
105Pd,7628.7,0.034,0.003
106Pd,115.86,0.0141,0.0013
106Pd,302.54,0.0122,0.001
106Pd,266.06,0.004,0.0
106Pd,381.81,0.0094,0.0014
106Pd,471.29,0.0065,0.0014
106Pd,6233.7,0.012,0.003
108Pd,113.401,0.335,0.005
108Pd,245.079,0.25,0.004
108Pd,152.942,0.145,0.0022
108Pd,266.343,0.0515,0.0012
108Pd,276.289,0.0562,0.0018
108Pd,98.259,0.0216,0.0017
108Pd,178.034,0.109,0.0022
108Pd,291.435,0.104,0.002
108Pd,211.884,0.054,0.0018
108Pd,325.284,0.208,0.003
108Pd,326.869,0.0793,0.002
108Pd,94.45,0.0383,0.002
108Pd,339.529,0.195,0.003
108Pd,149.848,0.0029,0.0007
108Pd,426.137,0.016,0.0019
108Pd,106.695,0.0029,0.002
108Pd,108.28,0.0076,0.002
108Pd,320.163,0.04,0.011
108Pd,433.564,0.097,0.003
108Pd,166.306,0.0042,0.0007
108Pd,200.155,0.0193,0.0014
108Pd,378.189,0.0411,0.002
108Pd,491.589,0.0195,0.0012
108Pd,213.805,0.003,0.0005
108Pd,215.39,0.0153,0.0013
108Pd,249.24,0.0338,0.0022
108Pd,264.386,0.0056,0.0007
108Pd,274.332,0.00099,0.00021
108Pd,295.595,0.0027,0.0009
108Pd,540.674,0.0051,0.0015
108Pd,264.98,0.0221,0.0009
108Pd,317.259,0.0031,0.0011
108Pd,359.429,0.12,0.003
108Pd,604.508,0.013,0.003
108Pd,189.919,0.0039,0.0011
108Pd,197.346,0.065,0.002
108Pd,298.199,0.0209,0.0023
108Pd,332.049,0.0053,0.001
108Pd,357.14,0.00099,0.00017
108Pd,623.482,0.014,0.007
108Pd,333.96,0.111,0.0025
108Pd,346.619,0.00099,0.00017
108Pd,428.409,0.0504,0.0021
108Pd,673.487,0.0017,0.0005
108Pd,230.453,0.0059,0.0011
108Pd,288.479,0.0048,0.001
108Pd,395.174,0.0065,0.0019
108Pd,396.759,0.023,0.003
108Pd,455.7,0.0142,0.0014
108Pd,722.042,0.023,0.0018
108Pd,365.279,0.0096,0.0015
108Pd,464.546,0.0035,0.0011
108Pd,515.126,0.0237,0.0022
108Pd,525.072,0.0023,0.0007
108Pd,678.014,0.0027,0.0007
108Pd,791.414,0.0071,0.0014
108Pd,187.112,0.0042,0.0011
108Pd,377.031,0.003,0.0006
108Pd,485.31,0.0122,0.0013
108Pd,810.593,0.022,0.003
108Pd,584.411,0.0113,0.0016
108Pd,585.996,0.0042,0.0016
108Pd,619.845,0.0138,0.0024
108Pd,911.278,0.0105,0.0014
108Pd,267.606,0.0036,0.0008
108Pd,336.586,0.0342,0.0019
108Pd,601.565,0.0324,0.0019
108Pd,649.659,0.0008,0.0003
108Pd,674.75,0.0091,0.0015
108Pd,696.014,0.0076,0.0018
108Pd,222.92,0.0263,0.0014
108Pd,653.52,0.0013,0.0005
108Pd,678.62,0.002,0.0005
108Pd,831.56,0.019,0.003
108Pd,520.599,0.0103,0.0012
108Pd,628.878,0.0058,0.0018
108Pd,840.76,0.0133,0.0014
108Pd,555.614,0.0081,0.001
108Pd,654.882,0.0097,0.0012
108Pd,690.316,0.0081,0.0018
108Pd,705.462,0.0013,0.0005
108Pd,726.756,0.0142,0.0018
108Pd,787.282,0.0087,0.0015
108Pd,461.197,0.0231,0.0014
108Pd,530.177,0.007,0.0011
108Pd,799.226,0.0113,0.0015
108Pd,966.446,0.0169,0.0018
108Pd,224.718,0.00099,0.00019
108Pd,685.914,0.042,0.007
108Pd,754.894,0.0474,0.0018
108Pd,1019.872,0.0467,0.0025
108Pd,3168.4,0.0111,0.0025
108Pd,3228.9,0.013,0.003
108Pd,3267.5,0.006,0.004
108Pd,3390.1,0.009,0.0019
108Pd,3563.5,0.009,0.003
108Pd,3583.5,0.005,0.0014
108Pd,3738.8,0.028,0.004
108Pd,3790.4,0.0083,0.0014
108Pd,3911.5,0.022,0.003
108Pd,3925.9,0.013,0.003
108Pd,3960.7,0.009,0.003
108Pd,3994.9,0.012,0.0021
108Pd,4034.0,0.016,0.004
108Pd,4066.2,0.018,0.003
108Pd,4128.9,0.015,0.003
108Pd,4156.7,0.0061,0.0012
108Pd,4229.9,0.0144,0.0025
108Pd,4238.3,0.0075,0.0025
108Pd,4312.6,0.015,0.003
108Pd,4364.4,0.007,0.0012
108Pd,4425.4,0.014,0.003
108Pd,4443.6,0.01,0.003
108Pd,4469.9,0.007,0.003
108Pd,4509.1,0.02,0.005
108Pd,4537.9,0.011,0.004
108Pd,4552.0,0.01,0.003
108Pd,4616.4,0.008,0.005
108Pd,4668.2,0.0107,0.0023
108Pd,4674.4,0.0144,0.0025
108Pd,4775.7,0.012,0.003
108Pd,4794.02,0.112,0.01
108Pd,4884.8,0.0012,0.0007
108Pd,4909.5,0.007,0.003
108Pd,4920.63,0.032,0.003
108Pd,5006.0,0.012,0.003
108Pd,5018.73,0.014,0.003
108Pd,5041.6,0.0041,0.0019
108Pd,5099.79,0.007,0.003
108Pd,5171.66,0.005,0.002
108Pd,5212.31,0.061,0.005
108Pd,5431.35,0.017,0.003
108Pd,5479.91,0.0146,0.0024
108Pd,5612.71,0.0015,0.0007
108Pd,5661.8,0.003,0.0022
